#
#   VizieR Astronomical Server: webviz.u-strasbg.fr 	2008-09-05T17:31:23
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx22323	
#INFO	-out.max=50000	
#INFO	CatalogsExamined=5	
#  5 catalogues with potential matches were examined.
#

#RESOURCE=yCat_21230079
#Name: J/ApJS/123/79
#Title: Third EGRET catalog (3EG) (Hartman+, 1999)
#Table	J_ApJS_123_79_3eg:
#Name: J/ApJS/123/79/3eg
#Title: Third EGRET Source Catalog (table 4)
#Column	_RAJ2000	(A7)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A6)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	3EG	(a10)	3EG name (Jhhmm+ddmm)	[ucd=meta.id;meta.main]
#Column	theta95	(F6.3)	Radius of the circle containing the same solid angle as the 95% confidence contour	[ucd=pos.posAng]
#Column	ID	(A1)	[PGSAa] Identification code (1)	[ucd=src.class]
#Column	Note	(a6)	[@EemC, ] Notes (2)	[ucd=meta.note]
#Column	r_ID	(a10)	References detailed in file "\begin{tex}\vFile{J/ApJS/123/79/./refs.dat}{refs.dat}\end{tex}"	[ucd=meta.bib]
#_RAJ2000	_DEJ2000	3EG	theta95	ID	Note	r_ID
#"h:m:s"	"d:m:s"		deg			
#-------	------	----------	------	-	------	----------
* V 7
00 10.2	+73 10	J0010+7309	 0.240	 	@,em  	1,2
00 39.0	-09 49	J0038-0949	 0.590	 	      	
01 18.4	+02 49	J0118+0248	 1.160	a	C     	1
01 30.8	-17 58	J0130-1758	 0.970	a	      	1
01 59.4	-36 04	J0159-3603	 0.790	 	      	1
02 04.4	+14 58	J0204+1458	 0.970	A	C     	1,3,4
02 10.3	-50 56	J0210-5055	 0.140	A	      	1,3,4
02 16.0	+11 23	J0215+1123	 1.060	 	C     	1
02 22.8	+42 54	J0222+4253	 0.310	A	@     	1,4,5,6,7
02 29.3	+61 52	J0229+6151	 0.490	 	C     	
02 37.4	+16 35	J0237+1635	 0.370	A	C     	1,3,4
02 40.0	+28 16	J0239+2815	 0.470	a	      	1,3
02 41.6	+61 04	J0241+6103	 0.180	 	@,C   	1,8
02 45.4	+17 58	J0245+1758	 0.660	 	C     	
02 54.0	-03 46	J0253-0345	 1.130	 	      	
03 23.6	+51 22	J0323+5122	 0.550	 	C     	1
03 29.6	+21 49	J0329+2149	 0.490	 	em    	
03 40.2	-02 01	J0340-0201	 0.520	A	      	4,9
03 48.1	+35 11	J0348+3510	 0.740	 	em,C  	
03 48.5	-57 08	J0348-5708	 0.420	 	em    	
04 04.6	+07 00	J0404+0700	 0.700	 	em,C  	
04 07.3	+17 11	J0407+1710	 0.710	 	C     	1
04 12.6	-18 53	J0412-1853	 1.500	A	C     	
04 16.2	+36 50	J0416+3650	 0.630	a	C     	
04 22.6	-01 02	J0422-0102	 0.570	A	em    	1,3,4
04 23.7	+17 08	J0423+1707	 0.770	 	em,C  	10
04 26.7	+13 34	J0426+1333	 0.450	 	em,C  	
04 29.7	+03 38	J0429+0337	 0.550	 	em,C  	
04 33.6	+29 08	J0433+2908	 0.180	A	C     	1,11,12
04 35.7	+61 37	J0435+6137	 0.660	 	em,C  	
04 39.2	+15 56	J0439+1555	 0.920	 	em,C  	1
04 39.2	+11 05	J0439+1105	 0.920	 	C     	
04 42.2	-00 33	J0442-0033	 0.650	A	C     	4,10,13
04 50.4	+11 05	J0450+1105	 0.640	A	C     	1,3,4
04 57.0	-23 38	J0456-2338	 0.940	A	em,C  	3
04 58.3	-46 36	J0458-4635	 1.040	A	em,C  	3
04 59.7	+05 45	J0459+0544	 0.990	A	em,C  	
04 59.1	+33 52	J0459+3352	 0.980	 	em,C  	1
05 00.3	+25 29	J0500+2529	 0.360	 	em,C  	
05 00.4	-01 59	J0500-0159	 0.750	A	em,C  	1,3,4
05 10.5	+55 46	J0510+5545	 0.710	 	em    	1
