#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2007-01-30T20:45:32
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml24157	

#RESOURCE=5050
#Name: V/50
#Title:	Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Table	V_50_catalog:
#Name: V/50/catalog
#Title:	The main part of the Catalogue
#Coosys	J2000_2000.000:	eq_FK5 2000_2000.000
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)
#---List of  values:     	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#HR	RAJ2000	DEJ2000	Vmag	B-V
#	"h:m:s"	"d:m:s"	mag	mag
#----	----------	---------	-----	-----
   1	00 05 09.9	+45 13 45	 6.70	 0.07
   2	00 05 03.8	-00 30 11	 6.29	 1.10
   3	00 05 20.1	-05 42 27	 4.61	 1.04
   4	00 05 42.0	+13 23 46	 5.51	 0.90
   5	00 06 16.0	+58 26 12	 5.96	 0.67
   6	00 06 19.0	-49 04 30	 5.70	 0.52
   7	00 06 26.5	+64 11 46	 5.59	-0.03
   8	00 06 36.8	+29 01 17	 6.13	 0.75
   9	00 06 50.1	-23 06 27	 6.18	 0.38
  10	00 07 18.2	-17 23 11	 6.19	 0.14
  11	00 07 44.1	-02 32 56	 6.43	-0.14
  12	00 07 46.8	-22 30 32	 5.94	 0.14
  13	00 08 03.5	-33 31 46	 5.68	 1.12
  14	00 08 12.1	-02 26 52	 6.07	 1.38
  15	00 08 23.3	+29 05 26	 2.06	-0.11
  16	00 08 17.4	-08 49 26	 5.99	 1.04
  17	00 08 41.0	+36 37 36	 6.19	 0.48
  18	00 08 33.4	-17 34 39	 6.06	 1.67
  19	00 08 52.2	+25 27 46	 6.23	 0.97
  20	00 09 20.2	+79 42 53	 6.01	 0.19
  21	00 09 10.7	+59 08 59	 2.27	 0.34
  22	00 09 02.4	+18 12 43	 5.53	 1.04
