#  FERMI ALL-SKY VARIABILITY ANALYSIS (FAVA) 
#  Ackermann et al (The Astrophysical Journal, 771:57 (12pp), 2013 July 1)
# Fava ID , RA (J2000.0) , Dec (J2000.0) , # HE Flares , # Neg. Flares , LAT Assoc. , Assoc. , Atel # ,
* V 14
J0019-05 , 00 19 04.7 , -05 20 59.9 , 0 , 0 , 2FGL_J0017.6-0510 , PMN_J0017-0512 , 0 ,
J0029-55 , 00 29 07.2 , -55 02 59.9 , 0 , 0 , 2FGL_J0032.7-5521 , none , 0 ,
J0031-02 , 00 31 23.9 , -02 17 59.9 , 1 , 0 , none , none , 0 ,
J0104+58 , 01 04 09.5 , +58 20 24.0 , 5 , 0 , 2FGL_J0102.7+5827 , TXS_0059+581 , 0 ,
J0112+61 , 01 12 28.7 , +61 16 11.8 , 3 , 0 , 2FGL_J0109.9+6132 , TXS_0106+612 , 0 ,
J0112+23 , 01 12 07.2 , +23 02 23.9 , 1 , 0 , 2FGL_J0112.1+2245 , S2_0109+22 , 0 ,
J0113+32 , 01 13 38.4 , +32 12 00.0 , 2 , 0 , 2FGL_J0112.8+3208 , 4C_31.03 , 0 ,
J0115-11 , 01 15 45.6 , -11 32 23.9 , 5 , 0 , 2FGL_J0116.0-1134 , PKS_0113-118 , 0 ,
J0139+47 , 01 39 14.3 , +47 30 35.9 , 0 , 0 , 2FGL_J0136.9+4751 , OC_457 , 0 ,
J0203+30 , 02 03 28.8 , +30 22 12.0 , 5 , 0 , none , none , 0 ,
J0203+15 , 02 03 48.0 , +15 30 00.0 , 1 , 0 , 2FGL_J0205.0+1514 , 4C_+15.05 , 0 ,
J0203-17 , 02 03 50.4 , -17 18 00.0 , 0 , 0 , 2FGL_J0205.3-1657 , PKS_0202-17 , 0 ,
J0209-51 , 02 09 40.7 , -51 11 23.9 , 5 , 0 , 2FGL_J0210.7-5102 , PKS_0208-512 , 0 ,
J0212+10 , 02 12 43.2 , +10 05 59.9 , 5 , 0 , none , none , 0 ,
J0215+01 , 02 15 21.6 , +01 46 12.0 , 1 , 0 , 2FGL_J0217.9+0143 , PKS_0215+015 , 0 ,
J0219+35 , 02 19 09.5 , +35 43 47.9 , 1 , 0 , 2FGL_J0221.0+3555 , S4_0218+35 , 0 ,
J0219-27 , 02 19 52.7 , -27 59 23.9 , 1 , 0 , none , none , 0 ,
J0225+42 , 02 25 09.6 , +42 55 11.8 , 3 , 0 , 2FGL_J0222.6+4302 , 3C_66A , 0 ,
J0227-56 , 02 27 57.6 , -56 27 00.0 , 1 , 0 , none , none , 0 ,
J0228-36 , 02 28 33.5 , -36 29 24.0 , 1 , 0 , 2FGL_J0229.3-3644 , PKS_0227-369 , 0 ,
J0237+60 , 02 37 07.2 , +60 40 12.0 , 0 , 2 , 2FGL_J0240.5+6113 , LS_I+61_303 , 0 ,
J0234-61 , 02 34 55.1 , -61 36 00.0 , 3 , 0 , 2FGL_J0237.1-6136 , PKS_0235-618 , 0 ,
J0238+28 , 02 38 00.0 , +28 34 47.9 , 7 , 0 , 2FGL_J0237.8+2846 , 4C_+28.07 , 0 ,
J0238+16 , 02 38 52.8 , +16 31 11.9 , 14 , 1 , 2FGL_J0238.7+1637 , AO_0235+164 , 0 ,
J0246-46 , 02 46 48.0 , -46 40 12.0 , 2 , 0 , 2FGL_J0245.9-4652 , PKS_0244-470 , 0 ,
J0251-22 , 02 51 31.2 , -22 36 00.0 , 4 , 0 , 2FGL_J0252.7-2218 , PKS_0250-225 , 0 ,
J0302-24 , 03 02 36.0 , -24 27 36.0 , 3 , 0 , 2FGL_J0303.4-2407 , PKS_0301-243 , 0 ,
J0308+10 , 03 08 43.1 , +10 24 00.0 , 4 , 0 , 2FGL_J0309.1+1027 , PKS_0306+102 , 0 ,
J0312+01 , 03 12 33.6 , +01 21 00.0 , 0 , 0 , 2FGL_J0312.6+0132 , PKS_0310+013 , 0 ,
J0320+41 , 03 20 35.9 , +41 37 48.0 , 3 , 0 , 2FGL_J0319.8+4130 , NGC_1275 , 0 ,
J0329+22 , 03 29 55.1 , +22 23 24.0 , 0 , 0 , 2FGL_J0326.1+2226 , TXS_0322+222 , 0 ,
J0333+32 , 03 33 45.5 , +32 31 12.0 , 0 , 0 , none , none , 0 ,
J0333-40 , 03 33 43.1 , -40 22 11.9 , 1 , 0 , 2FGL_J0334.2-4008 , PKS_0332-403 , 0 ,
J0341-02 , 03 41 02.3 , -02 25 48.0 , 0 , 0 , 2FGL_J0339.4-0144 , PKS_0336-01 , 0 ,
J0342-25 , 03 42 48.0 , -25 11 59.9 , 1 , 0 , none , none , 0 ,
J0350+79 , 03 50 57.6 , +79 56 23.8 , 1 , 0 , 2FGL_J0354.1+8010 , S5_0346+80 , 0 ,
J0351-21 , 03 51 00.0 , -21 03 35.9 , 0 , 0 , 2FGL_J0350.0-2104 , PKS_0347-211 , 0 ,
J0402-36 , 04 02 35.9 , -36 12 36.0 , 7 , 1 , 2FGL_J0403.9-3604 , PKS_0402-362 , 0 ,
J0422-01 , 04 22 38.4 , -01 29 23.9 , 1 , 0 , 2FGL_J0423.2-0120 , PKS_0420-01 , 0 ,
J0428-38 , 04 28 04.7 , -38 02 59.9 , 11 , 7 , 2FGL_J0428.6-3756 , PKS_0426-380 , 0 ,
J0427-60 , 04 27 45.5 , -60 22 11.9 , 1 , 0 , 2FGL_J0433.4-6029 , PKS_0432-606 , 0 ,
J0441-00 , 04 41 48.0 , -00 44 23.9 , 2 , 0 , 2FGL_J0442.7-0017 , PKS_0440-00 , 0 ,
J0448+11 , 04 48 16.7 , +11 06 35.9 , 2 , 0 , 2FGL_J0448.9+1121 , PKS_0446+11 , 0 ,
J0456-23 , 04 56 14.3 , -23 33 35.9 , 11 , 14 , 2FGL_J0457.0-2325 , PKS_0454-234 , 0 ,
J0503-01 , 05 03 40.8 , -01 46 12.0 , 1 , 0 , 2FGL_J0501.2-0155 , PKS_0458-02 , 4396 ,
J0504+04 , 05 04 28.8 , +04 41 24.0 , 4 , 0 , 2FGL_J0505.5+0501 , PKS_0502+049 , 0 ,
J0517+45 , 05 17 16.7 , +45 29 24.0 , 1 , 0 , 2FGL_J0517.0+4532 , 4C_+45.08 , 0 ,
J0520-36 , 05 20 19.2 , -36 25 47.9 , 1 , 0 , 2FGL_J0523.0-3628 , PKS_0521-36 , 0 ,
J0525+16 , 05 25 11.8 , +16 00 36.0 , 0 , 0 , none , none , 0 ,
J0532+21 , 05 32 55.2 , +21 36 00.0 , 1 , 0 , 2FGL_J0534.5+2201 , PSR_J0534+2200 , 0 ,
J0533+07 , 05 33 02.2 , +07 13 48.0 , 3 , 0 , 2FGL_J0532.7+0733 , OG_050 , 0 ,
J0532-48 , 05 32 57.5 , -48 24 35.9 , 7 , 0 , 2FGL_J0532.0-4826 , PMN_J0531-4827 , 0 ,
J0536-44 , 05 36 16.7 , -44 15 35.9 , 10 , 1 , 2FGL_J0538.8-4405 , PKS_0537-441 , 0 ,
J0537+13 , 05 38 00.0 , +13 58 12.0 , 2 , 0 , Fermi_J0539+1432 , TXS_0536+145 , 3999 ,
