#
#   VizieR Astronomical Server: webviz.u-strasbg.fr 	2008-09-05T17:09:48
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx12835	
#INFO	-out.max=50000	

#RESOURCE=yCat_7227
#Name: VII/227
#Title: A Catalogue of Galactic Supernova Remnants (Green 2001)
#Table	VII_227_snrs:
#Name: VII/227/snrs
#Title: Supernova Remnant catalogue
#Column	_RAJ2000	(A7)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A6)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	SNR	(a11)	SuperNova Remnant designation	[ucd=meta.id;meta.main]
#Column	MajDiam	(F5.1)	Major Angular Size of remnant	[ucd=phys.angSize;src]
#Column	MinDiam	(F5.1)	? Minor Angular Size of remnant	[ucd=phys.angSize;src]
#_RAJ2000	_DEJ2000	SNR	MajDiam	MinDiam
#"h:m:s"	"d:m:s"		      arcmin	arcmin
#-------	------	-----------	--------	------	-----	-----
* V 6
17 45.7	-29 00	G000.0+00.0	  3.5	  2.5
17 46.2	-28 38	G000.3+00.0	 15.0	  8.0
17 47.3	-28 09	G000.9+00.1	  8.0	
17 48.5	-28 09	G001.0-00.1	  8.0	
17 49.6	-27 46	G001.4-00.1	 10.0	
17 48.7	-27 10	G001.9+00.3	  1.2	
17 55.4	-25 50	G003.7-00.2	 14.0	 11.0
17 52.9	-25 28	G003.8+00.3	 18.0	
18 08.9	-27 03	G004.2-03.5	 28.0	
17 30.7	-21 29	G004.5+06.8	  3.0	
17 33.4	-21 34	G004.8+06.2	 18.0	
18 07.5	-25 45	G005.2-02.6	 18.0	
18 02.2	-24 54	G005.4-01.2	 35.0	
17 47.3	-22 16	G005.9+03.1	 20.0	
17 54.9	-23 05	G006.1+01.2	 30.0	 26.0
18 00.5	-23 26	G006.4-00.1	 48.0	
17 45.2	-21 22	G006.4+04.0	 31.0	
18 01.8	-22 54	G007.0-00.1	 15.0	
18 17.4	-24 04	G007.7-03.7	 22.0	
18 24.2	-23 48	G008.7-05.0	 26.0	
18 05.5	-21 26	G008.7-00.1	 45.0	
18 05.1	-20 14	G009.8+00.6	 12.0	
18 08.6	-20 25	G010.0-00.3	  8.0	
18 11.4	-19 25	G011.2-00.3	  4.0	
18 10.8	-19 05	G011.4-00.1	  8.0	
18 12.2	-18 37	G012.0-00.1	  7.0	
18 19.3	-18 00	G013.3-01.3	 70.0	 40.0
18 14.2	-17 12	G013.5+00.2	  5.0	  4.0
18 24.0	-16 34	G015.1-01.6	 30.0	 24.0
18 18.9	-15 02	G015.9+00.2	  7.0	  5.0
18 28.8	-16 11	G016.2-02.7	 17.0	
18 20.9	-14 20	G016.7+00.1	  4.0	
18 25.3	-14 46	G016.8-01.1	 30.0	 24.0
18 30.9	-14 52	G017.4-02.3	 24.0	
18 32.8	-14 39	G017.8-02.6	 24.0	
18 24.0	-12 23	G018.8+00.3	 17.0	 11.0
18 29.8	-12 58	G018.9-01.1	 33.0	
18 28.1	-11 35	G020.0-00.2	 10.0	
18 33.5	-10 35	G021.5-00.9	  4.0	
18 32.7	-10 08	G021.8-00.6	 20.0	
18 33.2	-09 13	G022.7-00.2	 26.0	
18 34.7	-08 48	G023.3-00.3	 27.0	
18 33.0	-08 13	G023.6+00.3	 10.0	
18 38.7	-07 32	G024.7-00.6	 15.0	
18 34.2	-07 05	G024.7+00.6	 30.0	 15.0
18 41.3	-04 56	G027.4+00.0	  4.0	
18 39.8	-04 24	G027.8+00.6	 50.0	 30.0
18 43.9	-03 53	G028.6-00.1	 13.0	  9.0
18 39.0	-02 55	G028.8+01.5	100.0	
18 44.9	-02 57	G029.6+00.1	  5.0	
18 46.4	-02 59	G029.7-00.3	  3.0	
18 54.4	-02 54	G030.7-02.0	 16.0	
18 44.0	-01 32	G030.7+01.0	 24.0	 18.0
18 51.2	-01 31	G031.5-00.6	 18.0	
18 49.4	-00 55	G031.9+00.0	  7.0	  5.0
19 06.0	-03 00	G032.0-04.9	 60.0	
18 53.2	-01 08	G032.1-00.9	 40.0	
18 51.4	-00 08	G032.8-00.1	 17.0	
18 53.8	-00 02	G033.2-00.6	 18.0	
18 52.8	+00 41	G033.6+00.1	 10.0	
18 56.0	+01 22	G034.7-00.4	 35.0	 27.0
19 00.6	+02 56	G036.6-00.7	 25.0	
18 48.8	+04 26	G036.6+02.6	 17.0	 13.0
19 04.1	+05 28	G039.2-00.3	  8.0	  6.0
19 12.3	+04 55	G039.7-02.0	120.0	 60.0
19 07.2	+06 31	G040.5-00.5	 22.0	
19 07.6	+07 08	G041.1-00.3	  4.5	  2.5
19 07.3	+09 05	G042.8+00.6	 24.0	
19 11.1	+09 06	G043.3-00.2	  4.0	  3.0
19 05.8	+10 30	G043.9+01.6	 60.0	
19 16.4	+11 09	G045.7-00.4	 22.0	
19 18.2	+12 09	G046.8-00.3	 17.0	 13.0
19 23.8	+14 06	G049.2-00.7	 30.0	
19 38.8	+17 14	G053.6-02.2	 33.0	 28.0
19 30.5	+18 52	G054.1+00.3	  1.5	
19 33.3	+18 56	G054.4-00.3	 40.0	
19 32.0	+19 50	G055.0+00.3	 20.0	 15.0
19 21.3	+21 44	G055.7+03.4	 23.0	
19 35.0	+21 57	G057.2+00.8	 12.0	
19 42.5	+23 35	G059.5+00.1	  5.0	
19 38.9	+24 19	G059.8+01.2	 20.0	 16.0
19 47.9	+27 45	G063.7+01.1	  8.0	
19 54.7	+28 35	G065.1+00.6	 90.0	 50.0
19 33.0	+31 10	G065.3+05.7	310.0	240.0
19 52.2	+29 26	G065.7+01.2	 18.0	
19 54.5	+31 29	G067.7+01.8	  9.0	
20 08.7	+30 37	G068.6-01.2	 28.0	 25.0
19 53.3	+32 55	G069.0+02.7	 80.0	
20 02.7	+32 43	G069.7+01.0	 16.0	
20 14.2	+36 12	G073.9+00.9	 22.0	
20 51.0	+30 40	G074.0-08.5	230.0	160.0
20 16.0	+37 12	G074.9+01.2	  8.0	  6.0
20 22.3	+38 43	G076.9+01.0	 12.0	  9.0
20 20.8	+40 26	G078.2+02.1	 60.0	
20 19.0	+45 30	G082.2+05.3	 95.0	 65.0
20 53.3	+43 27	G084.2-00.8	 20.0	 16.0
20 50.5	+44 53	G084.9+00.5	  6.0	
20 50.7	+45 22	G085.4+00.7	 24.0	
20 58.7	+44 53	G085.9-00.6	 24.0	
20 45.0	+50 35	G089.0+04.7	120.0	 90.0
20 52.4	+55 21	G093.3+06.9	 27.0	 20.0
21 29.3	+50 50	G093.7-00.2	 80.0	
21 24.8	+51 53	G094.0+01.0	 30.0	 25.0
22 27.5	+60 50	G106.3+02.7	 60.0	 24.0
23 01.6	+58 53	G109.1-01.0	 28.0	
23 23.4	+58 48	G111.7-02.1	  5.0	
23 37.0	+61 55	G114.3+00.3	 90.0	 55.0
23 53.7	+63 15	G116.5+01.1	 80.0	 60.0
23 59.2	+62 26	G116.9+00.2	 34.0	
00 06.7	+72 45	G119.5+10.2	 90.0	
00 25.3	+64 09	G120.1+01.4	  8.0	
01 22.0	+64 15	G126.2+01.6	 70.0	
01 28.3	+63 10	G127.1+00.5	 45.0	
02 05.7	+64 49	G130.7+03.1	  9.0	  5.0
02 17.7	+62 45	G132.7+01.3	 80.0	
04 58.7	+51 50	G156.2+05.7	110.0	
05 01.0	+46 40	G160.9+02.6	140.0	120.0
05 26.5	+42 56	G166.0+04.3	 55.0	 35.0
05 19.0	+41 55	G166.2+02.5	 90.0	 70.0
05 53.7	+31 05	G179.0+02.6	 70.0	
05 39.0	+27 50	G180.0-01.7	180.0	
06 08.2	+29 00	G182.4+04.3	 50.0	
05 34.5	+22 01	G184.6-05.8	  7.0	  5.0
06 17.0	+22 34	G189.1+03.0	 45.0	
06 09.3	+17 20	G192.8-01.1	 78.0	
06 39.0	+06 30	G205.5+00.5	220.0	
06 48.7	+06 26	G206.9+02.3	 60.0	 40.0
08 22.2	-43 00	G260.4-03.4	 60.0	 50.0
09 04.3	-38 42	G261.9+05.5	 40.0	 30.0
08 34.0	-45 50	G263.9-03.3	255.0	
08 52.0	-46 20	G266.2-01.2	120.0	
09 06.8	-52 02	G272.2-03.2	 15.0	
09 57.7	-53 15	G279.0+01.1	 95.0	
10 18.3	-59 00	G284.3-01.8	 24.0	
10 35.7	-59 42	G286.5-01.2	 26.0	  6.0
11 01.2	-60 18	G289.7-00.3	 18.0	 14.0
11 03.1	-60 56	G290.1-00.8	 19.0	 14.0
11 11.9	-60 38	G291.0-00.1	 15.0	 13.0
11 24.6	-59 16	G292.0+01.8	 12.0	  8.0
11 19.3	-61 28	G292.2-00.5	 20.0	 15.0
11 35.0	-60 54	G293.8+00.6	 20.0	
11 36.2	-61 38	G294.1-00.0	 40.0	
11 51.2	-62 34	G296.1-00.5	 37.0	 25.0
12 09.7	-52 25	G296.5+10.0	 90.0	 65.0
11 58.5	-62 35	G296.8-00.3	 20.0	 14.0
12 12.7	-62 52	G298.5-00.3	  5.0	
12 13.7	-62 37	G298.6-00.0	 12.0	  9.0
12 15.2	-65 30	G299.2-02.9	 18.0	 11.0
12 21.7	-63 09	G299.6-00.5	 13.0	
12 37.9	-63 49	G301.4-01.0	 37.0	 23.0
12 45.9	-62 08	G302.3+00.7	 17.0	
13 06.0	-62 42	G304.6+00.1	  8.0	
13 37.6	-63 04	G308.1-00.7	 13.0	
13 42.5	-62 23	G308.8-00.1	 30.0	 20.0
13 46.5	-62 54	G309.2-00.6	 15.0	 12.0
13 50.5	-62 05	G309.8+00.0	 25.0	 19.0
13 58.0	-62 09	G310.6-00.3	  8.0	
14 00.0	-62 17	G310.8-00.4	 12.0	
14 05.6	-61 58	G311.5-00.3	  5.0	
14 13.0	-61 44	G312.4-00.4	 38.0	
14 43.0	-62 30	G315.4-02.3	 42.0	
14 35.9	-60 36	G315.4-00.3	 24.0	 13.0
14 38.4	-60 11	G315.9-00.0	 25.0	 14.0
14 41.5	-60 00	G316.3-00.0	 29.0	 14.0
14 49.7	-59 46	G317.3-00.2	 11.0	
14 54.8	-59 04	G318.2+00.1	 40.0	 35.0
14 58.5	-58 29	G318.9+00.4	 30.0	 14.0
15 14.5	-59 08	G320.4-01.2	 35.0	
15 17.8	-59 16	G320.6-01.6	 60.0	 30.0
15 23.7	-58 13	G321.9-01.1	 28.0	
15 20.7	-57 34	G321.9-00.3	 31.0	 23.0
15 23.4	-57 06	G322.5-00.1	 15.0	
15 28.7	-56 21	G323.5+00.1	 13.0	
15 53.0	-56 10	G326.3-01.8	 38.0	
15 54.4	-55 09	G327.1-01.1	 18.0	
15 48.3	-53 49	G327.4+00.4	 21.0	
15 46.8	-53 20	G327.4+01.0	 14.0	
15 02.8	-41 56	G327.6+14.6	 30.0	
15 55.5	-53 17	G328.4+00.2	  5.0	
16 01.3	-52 18	G329.7+00.4	 40.0	 33.0
15 10.0	-40 00	G330.0+15.0	180.0	
16 01.1	-51 34	G330.2+01.0	 11.0	
16 13.3	-50 53	G332.0+00.2	 12.0	
16 17.5	-51 02	G332.4-00.4	 10.0	
16 15.3	-50 42	G332.4+00.1	 15.0	
16 27.7	-48 47	G335.2+00.1	 21.0	
16 32.2	-47 19	G336.7+00.5	 14.0	 10.0
16 35.9	-47 36	G337.0-00.1	  1.5	
16 39.5	-47 51	G337.2-00.7	  6.0	
16 32.6	-46 36	G337.3+01.0	 15.0	 12.0
16 39.0	-46 59	G337.8-00.1	  9.0	  6.0
16 38.0	-46 24	G338.1+00.4	 15.0	
16 41.0	-46 34	G338.3-00.0	  8.0	
16 41.1	-46 19	G338.5+00.1	  9.0	
16 46.5	-44 39	G340.4+00.4	 10.0	  7.0
16 47.7	-44 34	G340.6+00.3	  6.0	
16 47.6	-43 47	G341.2+00.9	 16.0	 22.0
16 55.0	-44 01	G341.9-00.3	  7.0	
16 54.8	-43 53	G342.0-00.2	 12.0	  9.0
16 50.7	-43 04	G342.1+00.9	 10.0	  9.0
17 25.0	-46 30	G343.0-06.0	250.0	
17 08.0	-44 16	G343.1-02.3	 32.0	
17 00.4	-43 14	G343.1-00.7	 27.0	 21.0
17 03.8	-41 42	G344.7-00.1	 10.0	
17 07.3	-40 53	G345.7-00.2	  6.0	
17 10.3	-40 11	G346.6-00.2	  8.0	
17 13.8	-39 45	G347.3-00.5	 65.0	 55.0
17 15.4	-38 28	G348.5-00.0	 10.0	
17 14.1	-38 32	G348.5+00.1	 15.0	
17 13.9	-38 11	G348.7+00.3	 17.0	
17 17.2	-38 04	G349.2-00.1	  9.0	  6.0
17 18.0	-37 26	G349.7+00.2	  2.5	  2.0
17 27.8	-38 32	G350.0-02.0	 45.0	
17 22.4	-36 11	G351.2+00.1	  7.0	
17 21.0	-35 27	G351.7+00.8	 18.0	 14.0
17 28.9	-36 16	G351.9-00.9	 12.0	  9.0
17 27.7	-35 07	G352.7-00.1	  8.0	  6.0
17 38.9	-35 11	G353.9-02.0	 13.0	
17 30.5	-33 46	G354.1+00.1	 15.0	  3.0
17 36.0	-33 42	G354.8-00.8	 19.0	
17 35.3	-32 38	G355.6-00.0	  8.0	  6.0
17 45.9	-33 43	G355.9-02.5	 13.0	
17 19.0	-29 40	G356.2+04.5	 25.0	
17 37.9	-32 16	G356.3-00.3	 11.0	  7.0
17 42.6	-32 52	G356.3-01.5	 20.0	 15.0
17 40.5	-30 58	G357.7-00.1	  8.0	  3.0
17 38.6	-30 44	G357.7+00.3	 24.0	
17 26.0	-28 36	G358.0+03.8	 38.0	
17 46.8	-30 16	G359.0-00.9	 23.0	
17 45.5	-29 57	G359.1-00.5	 24.0	
17 39.6	-29 11	G359.1+00.9	 12.0	 11.0
