#
#   VizieR Astronomical Server: webviz.u-strasbg.fr 	2008-08-29T14:53:25
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29127	
#INFO	-out.max=50000	

#RESOURCE=yCat_34551165
#Name: J/A+A/455/1165
#Title: Catalogue of Galactic high-mass X-ray binaries (Liu+, 2006)
#Table	J_A_A_455_1165_table1:
#Name: J/A+A/455/1165/table1
#Title: Catalog of 114 HMXB candidates in the Galaxy
#Column	_RAJ2000	(A11)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A11)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	Name	(a21)	Source Name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#_RAJ2000	_DEJ2000	Name	RAJ2000	DEJ2000
#"h:m:s"	"d:m:s"		"h:m:s"	"d:m:s"
#-----------	-----------	---------------------
* V 4
00 37 10.00	+61 21 35.0	IGR J00370+6122      
00 56 42.50	+60 43 00.0	2S 0053+604          
01 18 02.70	+65 17 30.0	2S 0114+650          
01 18 31.90	+63 44 24.0	4U 0115+634          
01 35 50.00	+66 12 40.0	IGR J01363+6610      
01 47 00.20	+61 21 23.7	RX J0146.9+6121      
01 58 18.44	+67 13 23.5	IGR J01583+6713      
02 40 31.70	+61 13 46.0	1E 0236.6+6100       
03 34 59.90	+53 10 24.0	V 0332+53            
03 55 23.00	+31 02 59.0	4U 0352+309          
04 19 42.20	+55 59 59.0	XTE J0421+560        
04 40 59.30	+44 31 49.0	RX J0440.9+4431      
05 22 35.20	+37 40 34.0	EXO 051910+3737.7    
05 38 54.60	+26 18 57.0	1A 0535+262          
05 55 55.10	+28 47 06.0	1H 0556+286          
06 07 26.60	+22 05 48.3	IGR J06074+2205      
06 35 18.29	+05 33 06.3	SAX J0635.2+0533     
06 48 04.60	-44 18 58.4	1WGA J0648.0-4419    
06 58 17.30	-07 12 35.3	XTE J0658-073        
07 28 53.60	-26 06 29.0	3A 0726-260          
07 47 23.60	-53 19 57.0	1H 0739-529          
07 50 15.77	-61 05 58.2	1H 0749-600          
08 12 28.40	-31 14 21.0	RX J0812.4-3114      
08 35 55.40	-43 11 11.9	GS 0834-430          
09 02 06.90	-40 33 17.0	4U 0900-40           
10 09 46.90	-58 17 35.5	GRO J1008-57         
10 37 35.20	-56 47 59.0	RX J1037.5-5647      
11 20 57.20	-61 55 00.0	1A 1118-615          
11 21 15.10	-60 37 25.5	4U 1119-603          
11 21 46.81	-59 51 47.9	IGR J11215-5952      
11 44 10.70	-61 07 02.0	IGR J11435-6109      
11 48 00.00	-62 12 25.0	2S 1145-619          
11 47 28.60	-61 57 14.0	1E 1145.1-6141       
12 26 37.60	-62 46 13.0	4U 1223-624          
12 34 54.70	-64 33 55.6	IGR J12349-6434      
12 42 01.00	-60 12 00.0	1H 1238-599          
12 47 35.00	-60 38 34.0	1A 1244-604          
12 49 36.00	-59 07 18.0	1A 1246-588          
12 42 50.30	-63 03 31.0	1H 1249-637          
12 39 14.60	-75 22 14.0	1H 1253-761          
12 54 36.90	-57 10 07.0	1H 1255-567          
13 01 17.10	-61 36 07.0	4U 1258-61           
13 01 58.70	-63 58 09.0	2RXP J130159.6-635806
13 24 26.30	-62 00 53.0	SAX J1324.4-6200     
14 21 12.90	-62 41 54.0	2S 1417-624          
14 52 49.30	-59 49 18.0	SAX J1452.8-5949     
15 42 23.30	-52 23 10.0	4U 1538-52           
15 44 01.00	-56 45 54.0	XTE J1543-568        
15 57 49.00	-54 24 54.0	2S 1553-542          
15 54 21.80	-55 19 45.0	1H 1555-552          
16 19 29.00	-49 45 30.0	IGR J16195-4945      
16 28 10.70	-48 38 55.0	IGR J16283-4838      
16 31 48.31	-48 49 00.7	IGR J16318-4848      
16 32 01.90	-47 52 27.1	IGR J16320-4751      
16 35 58.00	-47 24 24.0	IGR J16358-4726      
16 39 05.40	-46 42 14.0	AX J1639.0-4642      
16 41 45.00	-45 31 12.0	IGR J16418-4532      
16 46 35.26	-45 07 04.5	IGR J16465-4507      
16 48 07.00	-45 12 05.8	IGR J16479-4514      
16 49 21.00	-43 48 36.0	IGR J16493-4348      
17 00 48.90	-41 39 21.6	OAO 1657-415         
17 03 56.80	-37 50 39.0	4U 1700-37           
17 00 05.30	-41 57 44.0	AX J1700-419         
17 09 02.30	-36 23 33.0	IGR J17091-3624      
17 25 11.40	-36 16 57.5	EXO 1722-363         
17 39 11.58	-30 20 37.6	XTE J1739-302        
17 39 30.10	-29 42 07.0	RX J1739.4-2942      
17 40 11.60	-28 47 48.0	AX J1740.1-2847      
17 44 45.70	-27 13 44.0	RX J1744.7-2713      
17 49 06.00	-27 33 00.0	AX J1749.1-2733      
17 49 10.10	-27 25 16.0	AX J1749.2-2725      
17 49 12.70	-26 38 36.0	GRO J1750-27         
17 54 25.28	-26 19 52.6	IGR J17544-2619      
18 02 39.90	-20 17 13.5	SAX J1802.7-2017     
18 11 00.00	-10 54 00.0	4U 1807-10           
18 18 39.00	-17 03 06.0	SAX J1818.6-1703     
18 19 21.48	-25 25 36.0	SAX J1819.3-2525     
18 20 29.50	-14 34 24.0	AX J1820.5-1434      
18 26 15.06	-14 50 54.3	RX J1826.2-1450      
18 29 44.00	-09 51 23.0	XTE J1829-098        
18 36 28.60	-07 36 21.0	H 1833-076           
18 38 01.00	-06 55 54.0	AX J1838.0-0655      
18 41 48.00	-04 27 00.0	GS 1839-04           
18 41 42.00	-05 51 00.0	GS 1839-06           
18 41 00.43	-05 35 46.5	AX J1841.0-0536      
18 45 36.80	+00 51 48.3	GS 1843+009          
18 48 18.00	-02 25 12.0	2S 1845-024          
18 45 02.00	-04 33 31.0	AX 1845.0-0433       
18 48 18.00	-03 11 00.0	IGR J18483-0311      
18 58 00.00	-02 44 00.0	GS 1855-02           
18 55 31.30	-02 36 24.0	XTE J1855-026        
18 58 36.00	+03 26 09.0	XTE J1858+034        
18 59 06.00	+08 15 00.0	XTE J1859+083        
19 01 39.90	+01 26 39.2	XTE J1901+014        
19 03 37.10	+03 11 31.0	4U 1901+03           
19 04 47.48	+09 02 41.8	XTE J1906+09         
19 09 39.30	+09 49 45.0	4U 1907+09           
19 11 49.60	+04 58 58.0	3A 1909+048          
19 10 48.20	+07 35 52.3	4U 1909+07           
19 14 04.20	+09 52 58.3	IGR J19140+0951      
19 32 52.30	+53 52 45.0	1H 1936+541          
19 45 39.30	+27 21 55.4	XTE J1946+274        
19 49 30.50	+30 12 24.0	KS 1947+300          
19 58 21.70	+35 12 06.0	4U 1956+35           
20 19 00.00	+45 42 00.0	W63 X-1              
20 32 15.20	+37 38 15.0	EXO 2030+375         
20 32 26.50	+40 57 09.0	4U 2030+40           
20 30 30.80	+47 51 51.0	RX J2030.5+4751      
20 58 47.50	+41 46 37.0	GRO J2058+42         
21 03 35.70	+45 45 04.0	SAX J2103.5+4545     
21 39 30.60	+56 59 12.9	1H 2138+579          
22 01 38.20	+50 10 05.0	1H 2202+501          
22 07 56.20	+54 31 06.0	4U 2206+543          
22 39 20.90	+61 16 26.8	SAX J2239.3+6116     
