#
#   VizieR Astronomical Server: vizier.nao.ac.jp    	2008-09-08T15:17:26
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29447	
#INFO	-out.max=50000	

#RESOURCE=yCat_9010
#Name: IX/10A
#Title: ROSAT All-Sky Bright Source Catalogue (1RXS) (Voges+ 1999)
#Table	IX_10A_1rxs:
#Name: IX/10A/1rxs
#Title: The 1RXS catalogue
#Column	_RAJ2000	(A11)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A11)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	1RXS	(a16)	ROSAT All-Sky Survey Catalogue source name (1)	[ucd=meta.id;meta.main]
#Column	PosErr	(I2)	? Total positional error (including 6" systematic error)	[ucd=stat.error]
#_RAJ2000	_DEJ2000	1RXS	PosErr
#"h:m:s"	"d:m:s"		arcsec
#-----------	-----------	----------------	--
* V 8
00 00 00.00	-39 29 02.5	J000000.0-392902	19
00 00 07.00	+08 16 53.5	J000007.0+081653	10
00 00 10.00	-63 35 43.0	J000010.0-633543	11
00 00 11.90	+05 23 18.0	J000011.9+052318	 7
00 00 12.60	+01 46 21.0	J000012.6+014621	11
00 00 13.50	+57 56 28.5	J000013.5+575628	 8
00 00 19.50	-26 10 32.0	J000019.5-261032	12
00 00 35.50	-28 05 53.5	J000035.5-280553	29
00 00 38.40	+79 40 37.0	J000038.4+794037	 8
00 00 42.50	+62 10 34.0	J000042.5+621034	 8
00 00 44.20	-26 05 21.5	J000044.2-260521	15
00 00 44.60	-25 50 30.5	J000044.6-255030	15
00 00 55.50	+17 23 46.0	J000055.5+172346	12
00 01 15.60	+70 55 35.5	J000115.6+705535	11
00 01 16.30	-31 50 41.0	J000116.3-315041	15
00 01 19.80	+50 16 59.0	J000119.8+501659	16
00 01 23.30	+27 22 41.0	J000123.3+272241	14
00 01 24.20	+39 36 48.0	J000124.2+393648	16
00 01 29.70	-32 08 37.5	J000129.7-320837	12
00 01 32.80	+21 13 39.5	J000132.8+211339	12
00 01 39.70	-15 40 38.5	J000139.7-154038	30
00 01 43.90	+52 12 46.0	J000143.9+521246	12
00 01 50.90	+11 17 05.5	J000150.9+111705	10
00 01 54.20	-67 07 49.0	J000154.2-670749	11
00 01 55.10	+12 03 23.0	J000155.1+120323	24
00 01 56.70	-27 37 48.0	J000156.7-273748	19
00 02 02.50	-10 30 30.0	J000202.5-103030	12
00 02 09.40	+67 25 03.5	J000209.4+672503	27
00 02 17.50	-67 27 13.5	J000217.5-672713	15
00 02 26.60	+03 21 05.5	J000226.6+032105	 8
00 02 31.00	+08 29 31.5	J000231.0+082931	12
00 02 32.00	+18 41 25.0	J000232.0+184125	17
00 02 33.40	-32 00 17.0	J000233.4-320017	18
00 02 35.90	-08 15 18.0	J000235.9-081518	13
00 02 54.50	-26 03 39.5	J000254.5-260339	10
00 02 56.60	+71 22 07.0	J000256.6+712207	 9
00 02 56.70	+44 40 27.0	J000256.7+444027	12
00 02 59.60	+39 57 43.5	J000259.6+395743	17
00 03 06.30	-04 19 32.0	J000306.3-041932	19
00 03 07.60	-18 05 50.0	J000307.6-180550	 7
00 03 08.60	+21 57 28.0	J000308.6+215728	13
00 03 11.50	-06 05 21.0	J000311.5-060521	15
00 03 12.30	-35 55 41.5	J000312.3-355541	28
00 03 16.80	-27 56 27.5	J000316.8-275627	12
00 03 20.40	-52 47 27.0	J000320.4-524727	 9
00 03 25.60	-19 33 22.0	J000325.6-193322	17
00 03 42.80	+18 08 28.5	J000342.8+180828	15
00 03 50.40	+02 03 40.5	J000350.4+020340	19
00 03 59.10	+43 36 00.0	J000359.1+433600	 9
00 04 09.20	+45 26 18.5	J000409.2+452618	11
00 04 16.80	-29 02 40.5	J000416.8-290240	 9
00 04 19.50	-64 25 17.5	J000419.5-642517	19
00 04 42.50	+17 04 22.5	J000442.5+170422	 9
00 04 45.40	-63 48 27.5	J000445.4-634827	15
00 04 53.00	+34 39 34.5	J000453.0+343934	 7
00 04 54.00	-29 09 29.0	J000454.0-290929	11
00 04 59.10	+11 42 05.5	J000459.1+114205	16
00 05 12.20	-30 06 48.5	J000512.2-300648	15
00 05 13.20	-62 50 50.5	J000513.2-625050	15
00 05 19.10	-29 30 04.5	J000519.1-293004	12
00 05 20.11	+06 48 16.1	J000520.1+064816	
00 05 21.20	-74 26 32.5	J000521.2-742632	 8
00 05 22.70	+16 13 06.5	J000522.7+161306	14
00 05 37.00	-21 41 11.0	J000537.0-214111	11
00 05 39.80	-07 54 07.5	J000539.8-075407	 9
00 05 43.10	-50 07 03.0	J000543.1-500703	12
00 05 45.10	-08 08 22.5	J000545.1-080822	16
