#
#   VizieR Astronomical Server: webviz.u-strasbg.fr 	2008-09-05T17:40:02
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx27237	
#INFO	-out.max=50000	

#RESOURCE=yCat_7189
#Name: VII/189
#Title: Catalog of Pulsars (Taylor+ 1995)
#Table	VII_189_table1:
#Name: VII/189/table1
#Title: Observed and Derived parameters (tables 1, 2 and 4 of the publication)
#Column	_RAJ2000	(A11)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A11)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	Jname	(a12)	J2000 pulsar name	[ucd=meta.id;meta.main]
#_RAJ2000	_DEJ2000	Jname
#"h:m:s"	"d:m:s"	
#-----------	-----------	------------
* V 4
00 06 04.80	+18 34 59.0	0006+1834
00 14 17.74	+47 46 33.1	0014+4746
00 23 50.34	-72 04 31.5	0023-7204C
00 24 13.88	-72 04 43.8	0024-7204D
00 24 05.91	-72 04 23.0	0024-7204E
00 24 05.91	-72 04 22.9	0024-7204F
00 24 05.91	-72 04 22.9	0024-7204G
00 24 05.91	-72 04 22.9	0024-7204H
00 24 05.91	-72 04 23.0	0024-7204I
00 24 05.91	-72 04 22.9	0024-7204J
00 24 05.91	-72 04 22.9	0024-7204L
00 24 05.91	-72 04 22.9	0024-7204M
00 24 05.91	-72 04 22.9	0024-7204N
00 34 21.83	-05 34 36.6	0034-0534
00 34 08.88	-07 21 53.4	0034-0721
00 40 32.37	+57 16 24.6	0040+5716
00 45 35.09	-73 19 03.1	0045-7319
00 48 34.00	+34 12 07.9	0048+3412
00 51 00.00	+04 16 00.0	0051+04
00 55 45.39	+51 17 24.8	0055+5117
00 56 24.65	+47 56 15.1	0056+4756
01 02 32.91	+65 37 13.3	0102+6537
01 08 21.96	+66 08 32.2	0108+6608
01 08 29.52	+69 05 52.3	0108+6905
01 08 08.20	-14 31 46.0	0108-1431
01 17 38.70	+59 14 37.9	0117+5914
