# updated 2012/03/27
* V 3
CTA 1                   00 06 36        +72 47 00       PWN     2011.10 1.4 kpc Newly Announced
SHBL J001355.9-185406   00 13 56.0      -18 54 07       HBL     2010.11 z = 0.095       Newly Announced
Tycho                   00 25 27        +64 10 50       Shell   2010.05 3.5 kpc Default Catalog
KUV 00311-1938          00 33 34.2  -19 21 33   HBL 2012.07     Newly Announced
1ES 0033+595            00 35 52.63     +59 50 04.56    HBL     2011.10         Newly Announced
NGC 253                 00 47 33.6      -25 18 08       Starburst       2009.07 2500 kpc        Default Catalog
RGB J0136+391           01 36 32.5  +39 06 00   HBL 2012.07     Newly Announced
RGB J0152+017           01 52 33.5      +01 46 40.3     HBL     2008.02 z = 0.08        Default Catalog
3C66A                   02 22 41.6      +43 02 35.5     IBL     1998.03 z = 0.444       Default Catalog
MAGIC J0223+403         02 23 12        +43 00 42       UNID    2009.02         Default Catalog
1ES 0229+200            02 32 53.2      +20 16 21       HBL     2006.12 z = 0.14        Default Catalog
LSI +61 303             02 40 34        +61 15 25       XRB     2006.06 2 kpc   Default Catalog
PKS 0301-243            03 03 23.49 -24 07 35.86    HBL 2012.07     Default Catalog
IC 310                  03 16 43.0      +41 19 29       AGN (unknown type)      2010.03 z = 0.0189      Newly Announced
RBS 0413                03 19 47    +18 45 42   HBL 2009.10 z = 0.19    Default Catalog
NGC 1275                03 19 48.1      +41 30 42       FRI     2010.10 z = 0.017559    Newly Announced
1ES 0347-121            03 49 23.0      -11 58 38       HBL     2007.08 z = 0.188       Default Catalog
1ES 0414+009            04 16 52.96     +01 05 20.4     HBL     2009.11 z = 0.287       Default Catalog
PKS 0447-439            04 49 29.9      -43 50 09       HBL     2009.12 z = 0.2 Newly Announced
1ES 0502+675            05 07 56.2      +67 37 24       HBL     2009.11 z = 0.341       Newly Announced
VER J0521+211           05 21 55        +21 11 24       AGN (unknown type)      2009.10         Newly Announced
Crab                    05 34 31.1      +22 00 52       PWN     1989.07 2 kpc   Default Catalog
N 157B                  05 37 44        -69 09 57       PWN     2012.01 48 kpc  Newly Announced
