# unknown date
* V 3
NGC 253                00 47 06 	-25 18 35	Starburst	07.01.2009	2500 kpc	Default Catalog
RGB J0152+017          01 52 33.5	+01 46 40.3	HBL	02.01.2008	z = 0.08	Default Catalog
3C66A                  02 22 39.6	+43 02 08	IBL	03.01.1998	z = 0.444	Default Catalog
3C66A/B                02 23 12	        +43 00 42	UNID	02.01.2009		Default Catalog
1ES 0229+20            02 32 48.4	+20 17 16	HBL	12.01.2006	z = 0.14	Default Catalog
LSI +61 303            02 40 31.7	+61 13 46	XRB	06.01.2006	2 kpc	Default Catalog
RBS 0413               03 19 51.8	+18 45 34	HBL	10.01.2009	z = 0.19	Newly Announced
1ES 0347-121           03 49 23.2	-11 59 27.0	HBL	08.01.2007	z = 0.188	Default Catalog
1ES 0414+009           04 16 52.41	+01 05 24.3	HBL	11.01.2009	z = 0.287	Newly Announced
PKS 0447-439           04 49 24.7	-43 50 09	HBL	12.01.2009	z = 0.2	Newly Announced
1ES 0502+675           05 07 56.2	+67 37 24	HBL	11.01.2009	z = 0.341	Newly Announced
VER J0521+211          05 21 55	        +21 11 24	Other	10.01.2009		Newly Announced
Crab                   05 34 31.9	+22 00 52	PWN	07.01.1989	2 kpc	Default Catalog
PKS 0548-322           05 50 42.9	-32 16 34	HBL	07.01.2007	z = 0.069	Newly Announced
IC443                  06 16 43	        +22 31 48	Shell	05.01.2007	1.5 kpc	Default Catalog
Geminga PWN            06 32 28	         17 22 00	PWN	04.01.2009	0.169 kpc	Default Catalog
HESS J0632+057         06 32 58	        +05 48 20	BIN	07.01.2007	1.6 kpc	Default Catalog
VER J0648+152          06 48 49.7	+15 16 22	UNID	03.01.2010		Newly Announced
RGB J0710+591          07 10 30.1	+59 08 20.5	HBL	02.01.2009	z = 0.125	Newly Announced
S5 0716+714            07 21 53.4	+71 20 36	LBL	04.01.2008	z = 0.31	Default Catalog
1ES 0806+524           08 09 49.2	+52 18 58	HBL	12.01.2008	z = 0.138	Default Catalog
Vela X                 08 35 32	        -45 36 00	PWN	03.01.2006	0.29 kpc	Default Catalog
RX J0852.0-4622        08 52 00         -46 22 00	Shell	02.01.2005	0.2 kpc	Default Catalog
M82                    09 55 52.18	+69 40 48.7	Starburst	07.01.2009	3900 kpc	Default Catalog
1ES 1011+496           10 15 04.1	+49 26 01	HBL	09.01.2007	z = 0.212	Default Catalog
Westerlund 2           10 23 18  	-57 45 50	WR	06.01.2007	8 kpc	Default Catalog
1ES 1101-232           11 03 38	        -23 29 31	HBL	04.01.2006	z = 0.186	Default Catalog
Markarian 421          11 04 27.3	+38 12 32	HBL	08.01.1992	z = 0.031	Default Catalog
G292.2-0.5             11 19 00	        -61 24 00	PWN	07.01.2009	5 kpc	Newly Announced
Markarian 180          11 36 26.4	+70 09 27	HBL	09.01.2006	z = 0.045	Default Catalog
