# Atmospheric Model 21 (V.Winter.US76.50km)
#Col. #1          #2           #3            #4
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
     0.000    1.22946e-03  1.03601e+03  2.89600e-04
     1.000    1.09819e-03  9.23565e+02  2.58700e-04
     2.000    9.90486e-04  8.15019e+02  2.33300e-04
     3.000    9.01675e-04  7.24870e+02  2.12300e-04
     4.000    8.13350e-04  6.39993e+02  1.91500e-04
     5.000    7.33228e-04  5.63249e+02  1.72600e-04
     6.000    6.59409e-04  4.93099e+02  1.55200e-04
     7.000    5.84731e-04  4.22949e+02  1.37600e-04
     8.000    5.38087e-04  3.80495e+02  1.26600e-04
     9.000    4.66832e-04  3.17068e+02  1.09800e-04
    10.000    4.14007e-04  2.73163e+02  9.74000e-05
    11.000    3.75949e-04  2.43084e+02  8.84400e-05
    12.000    3.20134e-04  2.03329e+02  7.53200e-05
    13.000    2.74951e-04  1.73340e+02  6.47100e-05
    14.000    2.39680e-04  1.50329e+02  5.63900e-05
    15.000    2.02398e-04  1.25223e+02  4.76100e-05
    16.000    1.71011e-04  1.04398e+02  4.02400e-05
    17.000    1.51184e-04  9.15399e+01  3.55700e-05
    18.000    1.24763e-04  7.55793e+01  2.93500e-05
    19.000    1.09011e-04  6.61328e+01  2.56500e-05
    20.000    8.99098e-05  5.49409e+01  2.11500e-05
    21.000    7.63433e-05  4.69647e+01  1.79600e-05
    22.000    6.49534e-05  4.02441e+01  1.52800e-05
    23.000    5.46119e-05  3.41093e+01  1.28500e-05
    24.000    4.67937e-05  2.94049e+01  1.10100e-05
    25.000    3.91221e-05  2.47681e+01  9.20700e-06
    30.000    1.63692e-05  1.07440e+01  3.85200e-06
    35.000    7.60943e-06  5.13684e+00  1.79100e-06
    40.000    3.61591e-06  2.58683e+00  8.52100e-07
    45.000    1.72171e-06  1.31897e+00  4.07700e-07
    50.000    8.95111e-07  6.98341e-01  2.10700e-07
    55.000    4.83923e-07  3.70131e-01  1.13900e-07
    60.000    2.61140e-07  1.92223e-01  6.14400e-08
    70.000    7.09729e-08  4.80557e-02  1.67000e-08
    80.000    1.65812e-08  1.02246e-02  3.90100e-09
   85.000    0.79550E-08  0.47695E-02  0.18352E-08
   90.000    0.34600E-08  0.20699E-02  0.79806E-09
   95.000    0.14679E-08  0.90827E-03  0.33855E-09
  100.000    0.64977E-09  0.40634E-03  0.14986E-09
  105.000    0.29405E-09  0.18201E-03  0.67829E-10
  110.000    0.14198E-09  0.77579E-04  0.32753E-10
  115.000    0.71133E-10  0.26326E-04  0.16411E-10
  120.000    0.37687E-10  0.00000E+00  0.86931E-11
