# Atmospheric Model 22 (V.Summer.US76.50km)
#Col. #1          #2           #3            #4
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
     0.000    1.13106e-03  1.00533e+03  2.66800e-04
     1.000    1.03984e-03  9.21540e+02  2.45200e-04
     2.000    9.47305e-04  8.18370e+02  2.23300e-04
     3.000    8.69789e-04  7.29393e+02  2.05000e-04
     4.000    7.92587e-04  6.46656e+02  1.86700e-04
     5.000    7.18841e-04  5.71715e+02  1.69300e-04
     6.000    6.47348e-04  5.02380e+02  1.52400e-04
     7.000    5.83545e-04  4.41750e+02  1.37400e-04
     8.000    5.35085e-04  3.96336e+02  1.25900e-04
     9.000    4.68378e-04  3.34092e+02  1.10200e-04
    10.000    4.27301e-04  2.96998e+02  1.00500e-04
    11.000    3.80195e-04  2.55765e+02  8.94700e-05
    12.000    3.25786e-04  2.10648e+02  7.66400e-05
    13.000    2.89676e-04  1.82538e+02  6.81600e-05
    14.000    2.52668e-04  1.55509e+02  5.94400e-05
    15.000    2.18654e-04  1.31879e+02  5.14400e-05
    16.000    1.86579e-04  1.11055e+02  4.38900e-05
    17.000    1.64060e-04  9.73618e+01  3.86000e-05
    18.000    1.34108e-04  8.04922e+01  3.15600e-05
    19.000    1.14592e-04  6.96531e+01  2.69500e-05
    20.000    9.43075e-05  5.82373e+01  2.21900e-05
    21.000    7.88778e-05  4.92417e+01  1.85600e-05
    22.000    6.71994e-05  4.23657e+01  1.58100e-05
    23.000    5.64521e-05  3.59548e+01  1.32800e-05
    24.000    4.75367e-05  3.05419e+01  1.11800e-05
    25.000    4.05760e-05  2.62844e+01  9.54700e-06
    30.000    1.86961e-05  1.25517e+01  4.39900e-06
    35.000    8.45959e-06  5.87506e+00  1.99100e-06
    40.000    3.98499e-06  2.93548e+00  9.39100e-07
    45.000    1.95458e-06  1.52449e+00  4.61600e-07
    50.000    1.02598e-06  8.15924e-01  2.41600e-07
    55.000    5.67706e-07  4.34546e-01  1.33600e-07
    60.000    3.10290e-07  2.24941e-01  7.30000e-08
    70.000    8.24923e-08  5.31680e-02  1.94100e-08
    80.000    1.92955e-08  1.12471e-02  4.54000e-09
   85.000     0.82291E-08  0.46676E-02  0.18985E-08
   90.000     0.34321E-08  0.19250E-02  0.79163E-09
   95.000     0.14063E-08  0.78968E-03  0.32437E-09
  100.000     0.57185E-09  0.32602E-03  0.13189E-09
  105.000     0.24206E-09  0.13421E-03  0.55841E-10
  110.000     0.10312E-09  0.52792E-04  0.23788E-10
  115.000     0.46595E-10  0.17216E-04  0.10748E-10
  120.000     0.24596E-10  0.00000E+00  0.56734E-11
