# Atmospheric Model 61 (Improved VERITAS winter, 2013)
#Col. #1          #2           #3            #4 
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
     1.000    1.09154e-03  9.20914e+02  2.56800e-04
     2.000    9.92469e-04  8.17080e+02  2.33400e-04
     3.000    8.98303e-04  7.22595e+02  2.11200e-04
     4.000    8.09558e-04  6.36932e+02  1.90300e-04
     5.000    7.29596e-04  5.59894e+02  1.71500e-04
     6.000    6.57009e-04  4.90593e+02  1.54400e-04
     7.000    5.90362e-04  4.28142e+02  1.38700e-04
     8.000    5.28877e-04  3.71998e+02  1.24300e-04
     9.000    4.72393e-04  3.21962e+02  1.11000e-04
    10.000    4.19627e-04  2.77342e+02  9.85900e-05
    11.000    3.69359e-04  2.37899e+02  8.67800e-05
    12.000    3.20341e-04  2.03434e+02  7.52700e-05
    13.000    2.74848e-04  1.73640e+02  6.45800e-05
    14.000    2.36371e-04  1.48097e+02  5.55400e-05
    15.000    2.03704e-04  1.26029e+02  4.78600e-05
    16.000    1.75429e-04  1.07116e+02  4.12200e-05
    17.000    1.50010e-04  9.08611e+01  3.52400e-05
    18.000    1.27385e-04  7.69999e+01  2.99300e-05
    19.000    1.07643e-04  6.52622e+01  2.52900e-05
    20.000    9.07536e-05  5.53527e+01  2.13200e-05
    21.000    7.65254e-05  4.69978e+01  1.79800e-05
    22.000    6.45711e-05  3.99554e+01  1.51700e-05
    23.000    5.45314e-05  3.40038e+01  1.28100e-05
    24.000    4.61537e-05  2.89694e+01  1.08400e-05
    25.000    3.91021e-05  2.47144e+01  9.18800e-06
    27.500    2.66087e-05  1.68119e+01  6.25200e-06
    30.000    1.77871e-05  1.13373e+01  4.17900e-06
    32.500    1.19495e-05  7.72163e+00  2.80800e-06
    35.000    7.91825e-06  5.29078e+00  1.86000e-06
    37.500    5.32540e-06  3.67696e+00  1.25100e-06
    40.000    3.62410e-06  2.58410e+00  8.51500e-07
    42.500    2.50028e-06  1.83849e+00  5.87400e-07
    45.000    1.73848e-06  1.31758e+00  4.08500e-07
    47.500    1.23526e-06  9.60094e-01  2.90200e-07
    50.000    8.95512e-07  6.97604e-01  2.10400e-07
    55.000    4.83923e-07  3.69740e-01  1.13700e-07
    60.000    2.61141e-07  1.92021e-01  6.13600e-08
    65.000    1.37382e-07  9.70312e-02  3.22800e-08
    70.000    7.09729e-08  4.80049e-02  1.66800e-08
    75.000    3.50900e-08  2.26747e-02  8.24400e-09
    80.000    1.70787e-08  1.05202e-02  4.01300e-09
    85.000    7.95082e-09  4.65750e-03  1.86800e-09
    90.000    3.45752e-09  2.02234e-03  8.12300e-10
    95.000    1.46674e-09  8.95752e-04  3.44600e-10
   100.000    6.48615e-10  4.15702e-04  1.52500e-10
   105.000    2.93860e-10  2.04276e-04  6.90299e-11
   110.000    1.42302e-10  1.08266e-04  3.33300e-11
   115.000    7.13388e-11  6.12829e-05  1.67000e-11
   120.000    3.76618e-11  3.67697e-05  8.84692e-12
