# Atmospheric Model 62 (improved VERITAS summer, 2013)
#Col. #1          #2           #3            #4 
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
     1.000    1.03329e-03  9.17617e+02  2.43400e-04
     2.000    9.47649e-04  8.19289e+02  2.23100e-04
     3.000    8.68043e-04  7.28640e+02  2.04300e-04
     4.000    7.90981e-04  6.45452e+02  1.86100e-04
     5.000    7.16926e-04  5.70042e+02  1.68600e-04
     6.000    6.46732e-04  5.01913e+02  1.52000e-04
     7.000    5.82095e-04  4.40307e+02  1.36800e-04
     8.000    5.23548e-04  3.84918e+02  1.23000e-04
     9.000    4.69882e-04  3.35136e+02  1.10400e-04
    10.000    4.20532e-04  2.90686e+02  9.88100e-05
    11.000    3.74669e-04  2.50968e+02  8.80300e-05
    12.000    3.31656e-04  2.15540e+02  7.79200e-05
    13.000    2.91684e-04  1.84310e+02  6.85300e-05
    14.000    2.54781e-04  1.57055e+02  5.98600e-05
    15.000    2.20767e-04  1.33220e+02  5.18700e-05
    16.000    1.89576e-04  1.12736e+02  4.45400e-05
    17.000    1.60571e-04  9.52612e+01  3.77300e-05
    18.000    1.34470e-04  8.05298e+01  3.15900e-05
    19.000    1.12139e-04  6.82119e+01  2.63500e-05
    20.000    9.39393e-05  5.79266e+01  2.20700e-05
    21.000    7.90380e-05  4.92827e+01  1.85700e-05
    22.000    6.67207e-05  4.20135e+01  1.56800e-05
    23.000    5.64201e-05  3.58617e+01  1.32600e-05
    24.000    4.77977e-05  3.06435e+01  1.12300e-05
    25.000    4.05927e-05  2.62352e+01  9.53700e-06
    26.000    3.45135e-05  2.24796e+01  8.10900e-06
    27.000    2.93816e-05  1.92847e+01  6.90400e-06
    28.000    2.50565e-05  1.65668e+01  5.88700e-06
    29.000    2.13917e-05  1.42452e+01  5.02600e-06
    30.000    1.82860e-05  1.22586e+01  4.29700e-06
    32.500    1.25299e-05  8.43429e+00  2.94400e-06
    35.000    8.46353e-06  5.86878e+00  1.98800e-06
    37.500    5.78362e-06  4.12781e+00  1.35900e-06
    40.000    3.99566e-06  2.93280e+00  9.38800e-07
    42.500    2.78916e-06  2.10374e+00  6.55300e-07
    45.000    1.96632e-06  1.52288e+00  4.62000e-07
    47.500    1.40120e-06  1.11187e+00  3.29200e-07
    50.000    1.02689e-06  8.14848e-01  2.41300e-07
    55.000    5.68104e-07  4.34341e-01  1.33500e-07
    60.000    3.09673e-07  2.24275e-01  7.27600e-08
    65.000    1.63202e-07  1.11627e-01  3.83400e-08
    70.000    8.28276e-08  5.33253e-02  1.94600e-08
    75.000    3.99206e-08  2.43916e-02  9.37900e-09
    80.000    1.84568e-08  1.07490e-02  4.33600e-09
    85.000    8.22008e-09  4.55230e-03  1.93100e-09
    90.000    3.42275e-09  1.87526e-03  8.04100e-10
    95.000    1.40517e-09  7.76250e-04  3.30000e-10
   100.000    5.71452e-10  3.26842e-04  1.34300e-10
   105.000    2.41878e-10  1.48100e-04  5.67300e-11
   110.000    1.03060e-10  7.25181e-05  2.42200e-11
   115.000    4.64495e-11  4.08553e-05  1.09399e-11
   120.000    2.41925e-11  2.55345e-05  5.77005e-12
