
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Feb 2008

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    186                                                               
  934.0    751   13.8  -14.2     13   1.37      0      0  292.6  297.0  292.9
  925.0    836   12.2  -15.8     13   1.21    335      6  291.8  295.6  292.0
  916.3    914   11.5  -16.2     13   1.18    340      7  291.8  295.6  292.0
  883.1   1219    8.6  -17.8     14   1.08    340      5  291.9  295.4  292.1
  850.0   1535    5.6  -19.4     15   0.97     55      3  292.0  295.1  292.2
  839.0   1641    4.4  -16.6     20   1.25     69      4  291.8  295.8  292.1
  833.0   1699    4.6  -23.4     11   0.70     77      5  292.6  294.9  292.8
  819.8   1829    4.0  -23.5     11   0.71     95      7  293.4  295.7  293.5
  805.0   1977    3.4  -23.6     12   0.71     95      7  294.2  296.6  294.4
  799.0   2038    4.8  -23.2     11   0.74     95      8  296.4  298.8  296.5
  789.6   2134    4.5  -21.9     13   0.84     95      8  297.0  299.8  297.2
  781.0   2223    4.2  -20.8     14   0.94     70      8  297.6  300.8  297.8
  770.0   2338    5.0  -30.0      6   0.41     38      8  299.7  301.2  299.8
  760.6   2438    4.6  -28.1      7   0.50     10      8  300.3  302.1  300.4
  732.5   2743    3.3  -22.2     13   0.89     50      6  302.1  305.1  302.3
  727.0   2805    3.0  -21.0     15   0.99     56      6  302.5  305.8  302.7
  705.0   3053    2.2  -27.8      9   0.56     80      7  304.3  306.2  304.4
  700.0   3110    1.8  -27.2     10   0.59     85      7  304.4  306.5  304.6
  679.1   3353    0.6  -25.8     12   0.69     35      2  305.7  308.1  305.9
  653.7   3658   -1.0  -24.1     15   0.84    295     16  307.3  310.2  307.5
  645.0   3765   -1.5  -23.5     17   0.90    306     16  307.9  311.0  308.1
  629.2   3962   -2.5  -25.8     15   0.75    325     17  308.9  311.6  309.1
  608.0   4233   -3.9  -28.9     12   0.58    312     20  310.4  312.5  310.5
  605.4   4267   -4.2  -28.5     13   0.61    310     20  310.4  312.6  310.6
  570.0   4738   -8.1  -23.1     29   1.05    318     24  311.2  314.9  311.4
  559.8   4877   -9.2  -24.1     29   0.98    320     25  311.5  314.9  311.7
  537.9   5182  -11.7  -26.3     29   0.84    305     32  312.1  315.0  312.2
  500.0   5740  -16.3  -30.3     29   0.62    300     33  313.1  315.3  313.2
  487.0   5937  -17.9  -30.9     31   0.60    292     35  313.5  315.7  313.6
  476.7   6096  -18.4  -33.0     27   0.50    285     37  314.8  316.6  314.9
  468.0   6234  -18.9  -34.9     23   0.42    289     36  315.9  317.4  315.9
  441.0   6672  -22.9  -37.9     24   0.33    304     31  316.2  317.5  316.3
  439.0   6706  -23.1  -38.4     23   0.32    305     31  316.4  317.6  316.4
  419.0   7045  -24.9  -42.9     17   0.21    297     36  318.3  319.1  318.3
  400.0   7380  -27.9  -43.9     20   0.20    290     41  318.6  319.4  318.7
  386.4   7620  -30.1  -45.2     21   0.18    290     42  319.0  319.7  319.0
  369.7   7925  -32.8  -46.9     23   0.15    285     44  319.4  320.0  319.4
  338.5   8534  -38.2  -50.2     27   0.11    285     58  320.1  320.6  320.2
  310.0   9144  -43.7  -53.5     33   0.09    285     56  320.7  321.0  320.7
  300.0   9370  -45.7  -54.7     35   0.08    285     57  320.8  321.1  320.9
  292.0   9550  -47.3  -56.3     35   0.06    284     56  321.1  321.3  321.1
  250.0  10560  -55.7  -62.7     41   0.03    280     50  323.1  323.3  323.1
  245.8  10668  -56.3  -63.3     41   0.03    280     48  323.8  323.9  323.8
  242.0  10767  -56.9  -63.9     41   0.03    278     48  324.4  324.5  324.4
  213.0  11569  -60.5  -66.5     45   0.02    262     46  330.8  330.9  330.8
  202.4  11887  -61.3  -67.3     45   0.02    255     45  334.4  334.5  334.4
  200.0  11960  -61.5  -67.5     45   0.02    255     47  335.2  335.3  335.2
  194.0  12148  -61.9  -67.9     45   0.02    255     50  337.5  337.6  337.5
  189.0  12309  -61.7  -67.7     45   0.02    266     56  340.4  340.5  340.4
  185.0  12442  -61.0  -67.2     43   0.02    275     61  343.6  343.7  343.6
  183.4  12497  -60.7  -67.0     43   0.03    275     61  345.0  345.1  345.0
  174.0  12823  -58.9  -65.9     40   0.03    276     60  353.1  353.3  353.1
  162.0  13269  -59.3  -66.3     40   0.03    278     58  359.7  359.9  359.7
  150.0  13750  -58.5  -65.5     40   0.04    280     56  369.1  369.3  369.1
  145.0  13964  -58.3  -65.3     40   0.04    279     54  373.0  373.2  373.0
  128.0  14744  -61.3  -67.3     45   0.03    277     47  381.2  381.4  381.2
  121.0  15095  -59.5  -66.5     40   0.04    275     44  390.6  390.9  390.6
  118.2  15240  -60.7  -67.3     41   0.04    275     43  391.1  391.3  391.1
  113.0  15520  -62.9  -68.9     44   0.03    275     41  392.0  392.2  392.0
  112.5  15545  -63.0  -69.0     44   0.03    275     41  392.3  392.5  392.3
  110.0  15686  -63.3  -69.3     44   0.03    276     43  394.3  394.4  394.3
  100.0  16270  -65.3  -71.3     43   0.03    280     53  401.3  401.4  401.3
   85.5  17222  -65.5  -71.5     43   0.03    273     36  419.3  419.4  419.3
   78.0  17782  -63.9  -69.9     44   0.04    269     25  433.7  434.0  433.7
   72.4  18236  -66.1  -72.1     43   0.03    265     17  438.4  438.6  438.4
   71.8  18288  -66.0  -72.0     43   0.03    265     16  439.8  440.0  439.8
   70.0  18440  -65.5  -71.5     43   0.04    260     20  443.9  444.1  443.9
   68.3  18593  -64.9  -71.1     42   0.04    265     18  448.5  448.7  448.5
   62.7  19115  -62.7  -69.7     38   0.05    316     13  464.3  464.6  464.3
   61.8  19202  -63.1  -69.9     39   0.05    325     12  465.3  465.7  465.4
   58.8  19507  -64.4  -70.5     43   0.05    235     11  469.0  469.3  469.0
   58.6  19531  -64.5  -70.5     43   0.05    234     11  469.3  469.6  469.3
   57.5  19647  -62.1  -69.1     39   0.06    228     11  477.3  477.7  477.3
   54.8  19944  -63.3  -70.3     38   0.05    213     11  481.1  481.5  481.1
   53.2  20127  -61.3  -68.3     39   0.07    205     11  489.8  490.3  489.9
   50.7  20422  -63.5  -70.5     38   0.06    190     11  491.5  491.9  491.5
   50.0  20510  -64.1  -71.1     38   0.05    190     11  492.0  492.4  492.0
   49.4  20584  -64.5  -70.5     43   0.06    248      7  492.8  493.2  492.8
   48.3  20726  -61.4  -68.1     41   0.08      0      0  503.4  503.9  503.4
   47.8  20787  -60.1  -67.1     39   0.10      7      2  507.9  508.6  507.9
   45.3  21121  -61.1  -68.1     39   0.09     45     14  513.4  514.0  513.4
   43.8  21336  -59.7  -67.5     36   0.10     70     21  521.8  522.5  521.8
   43.3  21402  -59.3  -67.3     35   0.10     78     20  524.4  525.2  524.5
   41.7  21641  -60.2  -67.5     38   0.10    105     16  527.9  528.7  527.9
   41.2  21712  -60.5  -67.5     39   0.11    110     17  528.9  529.7  529.0
   40.1  21881  -58.5  -66.5     35   0.12    121     19  538.1  539.0  538.1
   39.7  21946  -58.5  -66.5     35   0.13    125     20  539.6  540.6  539.7
   37.9  22236  -58.5  -66.5     35   0.13     96     17  546.8  547.8  546.9
   37.8  22250  -58.4  -66.3     35   0.13     95     17  547.6  548.6  547.6
   36.9  22404  -56.7  -64.7     36   0.17    105     18  555.6  556.9  555.7
   36.0  22555  -57.1  -65.1     36   0.17    115     18  558.4  559.6  558.4
   34.3  22860  -57.9  -65.9     35   0.16     90     18  564.0  565.2  564.0
   33.2  23070  -58.5  -66.5     35   0.15    104     15  567.9  569.0  567.9
   32.7  23165  -57.9  -65.9     35   0.16    110     13  571.9  573.1  571.9
   32.0  23302  -57.1  -65.1     36   0.19     99     19  577.6  579.1  577.7
   31.2  23470  -57.2  -65.6     34   0.18     85     26  581.8  583.2  581.9
   30.0  23710  -57.3  -66.3     31   0.17     80     28  587.8  589.2  587.9
   29.4  23838  -57.7  -65.7     35   0.19     78     25  590.1  591.7  590.2
   28.3  24079  -57.1  -65.5     34   0.20     75     20  598.1  599.8  598.2
   27.0  24384  -56.4  -65.2     32   0.22     80     24  608.4  610.2  608.5
   26.4  24521  -56.1  -65.1     31   0.23     83     25  613.1  615.0  613.2
   25.7  24693  -54.5  -64.5     28   0.25     87     26  622.4  624.5  622.5
   23.8  25185  -55.7  -65.7     28   0.23     98     28  632.7  634.7  632.8
