
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Mar 2008

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    127                                                               
  931.0    751   27.6   -4.4     12   2.98    320      3  307.0  316.6  307.5
  930.0    760   27.6  -21.4      3   0.75    318      3  307.1  309.7  307.2
  925.0    806   26.0  -23.0      3   0.65    310      3  305.9  308.2  306.0
  923.0    825   25.8  -23.2      3   0.64    307      3  305.9  308.1  306.0
  913.6    914   24.9  -23.3      3   0.64    295      3  305.9  308.1  306.0
  882.1   1219   22.0  -23.8      3   0.64      0      0  305.9  308.1  306.0
  872.0   1319   21.0  -24.0      4   0.63    314      1  305.9  308.1  306.0
  850.0   1538   18.8  -19.2      6   0.99    210      3  305.8  309.2  306.0
  821.2   1829   16.0  -17.1      9   1.22    210      2  305.9  310.0  306.1
  792.0   2134   13.1  -15.0     13   1.52    200      5  306.0  311.0  306.3
  764.0   2437   10.2  -12.8     18   1.88    175      8  306.0  312.2  306.4
  763.9   2438   10.2  -12.8     18   1.88    175      8  306.0  312.2  306.4
  736.1   2743    7.6  -13.2     21   1.88    170     19  306.4  312.6  306.7
  714.0   2995    5.4  -13.6     24   1.88    173     18  306.7  312.9  307.0
  700.0   3156    4.8  -17.2     19   1.43    175     18  307.8  312.6  308.0
  683.3   3353    4.2  -18.8     17   1.28    180     12  309.2  313.6  309.5
  683.0   3356    4.2  -18.8     17   1.28    180     12  309.3  313.6  309.5
  657.9   3658    1.7  -19.6     19   1.24    165      9  309.8  314.0  310.0
  633.5   3962   -0.8  -20.4     21   1.20    145     11  310.3  314.4  310.5
  625.0   4071   -1.7  -20.7     22   1.18    152      9  310.5  314.5  310.7
  609.8   4267   -2.7  -22.5     20   1.04    165      5  311.5  315.1  311.7
  587.0   4569   -4.3  -25.3     18   0.84    224      6  313.1  316.0  313.2
  569.0   4813   -6.3  -28.3     16   0.66    272      7  313.5  315.9  313.6
  564.4   4877   -6.8  -27.7     17   0.70    285      7  313.6  316.1  313.7
  545.0   5149   -9.1  -25.1     26   0.92    288     10  314.1  317.3  314.2
  501.2   5791  -14.3  -32.3     20   0.51    295     16  315.3  317.1  315.4
  500.0   5810  -14.5  -32.5     20   0.50    295     14  315.3  317.1  315.4
  481.3   6096  -17.0  -36.7     16   0.34    300     14  315.6  316.9  315.7
  478.0   6148  -17.5  -37.5     16   0.32    301     14  315.7  316.9  315.7
  468.0   6305  -18.9  -32.9     28   0.52    303     13  315.9  317.7  315.9
  459.0   6449  -19.9  -35.9     23   0.39    306     12  316.4  317.8  316.4
  444.0   6694  -22.1  -33.1     36   0.53    310     11  316.6  318.6  316.7
  443.3   6706  -22.2  -33.4     36   0.52    310     11  316.6  318.5  316.7
  436.0   6827  -23.3  -36.3     29   0.40    300     11  316.7  318.2  316.8
  429.0   6945  -23.9  -39.9     21   0.28    290     12  317.4  318.5  317.5
  425.1   7010  -24.4  -40.5     21   0.26    285     12  317.6  318.6  317.6
  400.0   7450  -27.9  -44.9     18   0.18    255     11  318.6  319.3  318.7
  393.0   7577  -28.7  -45.7     18   0.16    251     12  319.2  319.9  319.2
  390.6   7620  -29.1  -46.0     18   0.16    250     12  319.3  319.9  319.3
  358.2   8230  -34.3  -49.8     19   0.11    220     10  320.2  320.7  320.3
  349.0   8414  -35.9  -50.9     20   0.10    223      9  320.5  320.9  320.5
  329.0   8822  -38.3  -55.3     15   0.06    230      7  322.6  322.9  322.7
  313.8   9144  -41.1  -57.0     16   0.05    235      6  323.2  323.4  323.2
  300.0   9450  -43.7  -58.7     17   0.05    240      6  323.6  323.9  323.7
  273.6  10058  -49.0  -62.9     18   0.03    210     10  324.6  324.7  324.6
  261.2  10363  -51.7  -65.0     19   0.02    210      6  325.0  325.1  325.0
  254.0  10548  -53.3  -66.3     19   0.02    229      9  325.2  325.3  325.2
  250.0  10650  -53.1  -66.1     19   0.02    240     10  327.0  327.1  327.0
  248.0  10702  -53.3  -66.3     19   0.02    247     11  327.4  327.5  327.4
  237.7  10973  -55.4  -68.3     18   0.02    285     15  328.3  328.4  328.4
  236.0  11019  -55.7  -68.7     18   0.02    282     15  328.5  328.6  328.5
  233.0  11101  -55.5  -68.5     18   0.02    277     15  330.0  330.1  330.0
  226.6  11278  -56.5  -69.5     18   0.01    265     14  331.1  331.2  331.1
  224.0  11351  -56.9  -69.9     18   0.01    270     18  331.6  331.6  331.6
  220.0  11465  -55.9  -68.9     18   0.02    275     22  334.8  334.9  334.8
  216.0  11582  -56.4  -69.4     18   0.02    280     26  335.8  335.9  335.8
  208.0  11820  -57.5  -70.5     18   0.01    276     24  337.7  337.8  337.8
  205.8  11887  -56.8  -69.8     18   0.02    275     23  339.9  340.0  339.9
  205.0  11912  -56.5  -69.5     18   0.02    278     23  340.7  340.8  340.7
  200.0  12070  -53.5  -67.5     17   0.02    295     25  347.9  348.0  347.9
  198.0  12135  -52.9  -66.9     17   0.02    303     25  349.8  349.9  349.8
  196.2  12192  -53.0  -67.0     17   0.02    310     25  350.6  350.7  350.6
  193.0  12299  -53.1  -67.1     17   0.02    306     23  352.1  352.2  352.1
  188.0  12468  -52.1  -67.1     15   0.02    301     19  356.4  356.5  356.4
  187.2  12497  -52.2  -67.2     15   0.02    300     18  356.7  356.8  356.7
  180.0  12748  -52.9  -67.9     15   0.02    321     25  359.5  359.6  359.5
  178.5  12802  -52.8  -67.8     15   0.02    325     26  360.6  360.7  360.6
  173.0  13003  -52.3  -67.3     15   0.03    321     25  364.6  364.7  364.6
  154.7  13716  -57.2  -72.2     13   0.01    305     21  368.1  368.2  368.1
  150.0  13910  -58.5  -73.5     13   0.01    300     32  369.1  369.2  369.1
  144.0  14166  -60.1  -74.1     14   0.01    309     31  370.6  370.7  370.6
  140.3  14326  -60.0  -74.0     14   0.01    315     30  373.6  373.6  373.6
  138.0  14431  -59.9  -73.9     14   0.01    313     27  375.5  375.6  375.5
  134.0  14614  -61.7  -75.7     14   0.01    310     21  375.5  375.6  375.5
  133.7  14630  -61.8  -75.8     14   0.01    310     21  375.6  375.7  375.6
  127.2  14935  -63.2  -77.2     13   0.01    295     28  378.4  378.5  378.4
  121.0  15240  -64.7  -78.7     13   0.01    325     41  381.2  381.2  381.2
  120.0  15292  -64.9  -78.9     13   0.01    324     40  381.7  381.7  381.7
  114.0  15604  -65.5  -79.5     13   0.01    316     32  386.2  386.2  386.2
  110.0  15820  -67.1  -80.1     14   0.01    310     26  387.1  387.2  387.1
  100.0  16390  -70.5  -83.5     13   0.00    295     11  391.3  391.3  391.3
   88.6  17109  -70.1  -83.1     13   0.00    305     13  405.8  405.9  405.8
   83.7  17445  -72.1  -85.1     13   0.00    310     14  408.4  408.4  408.4
   77.4  17905  -72.5  -85.5     13   0.00    317     15  416.8  416.8  416.8
   71.6  18366  -69.7  -82.7     14   0.01    323     17  432.1  432.2  432.1
   70.0  18500  -69.9  -82.9     13   0.01    325     17  434.5  434.6  434.5
   68.9  18593  -69.8  -82.8     13   0.01    315     17  436.7  436.7  436.7
   68.0  18672  -69.7  -82.7     14   0.01    307     13  438.6  438.6  438.6
   65.5  18898  -70.6  -83.6     13   0.01    285      2  441.4  441.5  441.4
   62.4  19182  -71.7  -84.7     13   0.00    291      4  445.0  445.1  445.0
   55.8  19842  -70.9  -83.9     13   0.01    306      8  461.3  461.4  461.3
   52.4  20213  -72.3  -85.3     13   0.01    314     10  466.4  466.5  466.4
   51.3  20338  -71.1  -81.1     22   0.01    317     11  472.1  472.1  472.1
   50.0  20490  -69.5  -79.5     22   0.01    320     12  479.3  479.4  479.3
   48.1  20726  -67.9  -78.2     22   0.02    345     14  488.5  488.6  488.5
   45.7  21031  -65.8  -76.5     21   0.03    355     11  500.5  500.7  500.5
   43.5  21336  -63.8  -74.7     21   0.04     90     13  512.8  513.1  512.9
   43.2  21376  -63.5  -74.5     21   0.04     93     13  514.5  514.7  514.5
   41.4  21641  -64.0  -75.0     21   0.04    110     15  519.5  519.8  519.6
   39.8  21879  -64.5  -75.5     21   0.03    110     12  524.1  524.4  524.2
   33.9  22860  -63.2  -75.0     19   0.04    110      1  552.0  552.3  552.0
   32.5  23123  -62.9  -74.9     18   0.05     82      7  559.6  560.0  559.7
   30.7  23470  -60.7  -72.7     19   0.07     45     14  574.7  575.2  574.7
