
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Dec 2008

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    134                                                               
  930.0    751   20.2    4.2     35   5.59    325      4  299.5  316.4  300.5
  929.0    761   20.4    0.4     26   4.26    323      5  299.8  312.9  300.6
  925.0    800   19.4    0.4     28   4.28    315      7  299.1  312.2  299.9
  912.8    914   18.3    0.3     30   4.30    315      8  299.2  312.3  300.0
  900.0   1034   17.2    0.2     32   4.33    323      9  299.2  312.5  300.0
  880.6   1219   16.2   -1.6     30   3.89    335     10  300.1  312.1  300.8
  850.0   1519   14.6   -4.4     27   3.26      5      9  301.4  311.6  302.0
  843.0   1589   14.2   -4.8     26   3.19     17      8  301.7  311.7  302.3
  819.2   1829   13.3   -9.4     20   2.30     60      6  303.3  310.7  303.7
  805.0   1976   12.8  -12.2     16   1.87     58      6  304.2  310.4  304.6
  789.9   2134   11.6  -13.0     16   1.79     55      6  304.6  310.5  304.9
  765.0   2401    9.6  -14.4     17   1.65     33     12  305.2  310.7  305.6
  761.6   2438   10.0  -17.4     13   1.29     30     13  306.0  310.4  306.3
  756.0   2499   10.6  -22.4      8   0.84     28     16  307.4  310.3  307.5
  746.0   2610   10.8  -35.2      2   0.26     24     23  308.8  309.7  308.8
  734.1   2743    9.9  -35.9      2   0.25     20     30  309.2  310.1  309.2
  700.0   3136    7.2  -37.8      2   0.21     10     27  310.4  311.2  310.5
  666.0   3543    4.2  -39.8      2   0.18    358     29  311.5  312.2  311.5
  656.6   3658    3.5  -40.9      2   0.16    355     30  312.0  312.6  312.0
  618.0   4147    0.6  -45.4      2   0.11    359     34  314.1  314.5  314.1
  608.7   4267   -0.5  -44.6      2   0.12      0     35  314.2  314.6  314.2
  563.5   4877   -6.3  -40.7      5   0.20      0     41  314.4  315.1  314.4
  553.0   5026   -7.7  -39.7      6   0.22      0     43  314.4  315.2  314.4
  548.0   5096   -7.7  -39.7      6   0.22      0     44  315.2  316.1  315.3
  538.0   5240   -6.1  -50.1      2   0.07      0     46  318.8  319.1  318.8
  526.0   5416   -6.5  -53.5      1   0.05      0     48  320.4  320.6  320.4
  521.3   5486   -7.1  -53.2      1   0.05      0     49  320.4  320.6  320.4
  500.0   5810  -10.1  -52.1      2   0.06      0     46  320.7  320.9  320.7
  490.0   5965  -11.3  -53.3      2   0.06    357     47  321.1  321.3  321.1
  481.7   6096  -12.2  -53.6      2   0.05    355     47  321.6  321.8  321.6
  449.0   6631  -15.7  -54.7      2   0.05    355     50  323.6  323.9  323.6
  400.0   7490  -23.5  -54.5      4   0.06    355     56  324.4  324.6  324.4
  392.7   7620  -24.7  -54.9      4   0.06    355     54  324.5  324.8  324.5
  316.2   9144  -38.8  -59.5      9   0.04    345     63  325.7  325.9  325.7
  304.0   9420  -41.3  -60.3     11   0.04    345     63  325.8  326.0  325.8
  300.0   9510  -42.1  -61.1     11   0.03    345     63  325.9  326.1  325.9
  251.0  10694  -51.7  -66.7     15   0.02    335     65  328.7  328.8  328.7
  250.0  10720  -51.7  -66.7     15   0.02    335     65  329.1  329.2  329.1
  229.0  11278  -55.1  -69.7     15   0.01    345     73  332.3  332.3  332.3
  224.0  11419  -55.9  -70.4     15   0.01    345     73  333.1  333.1  333.1
  200.0  12140  -60.3  -74.3     14   0.01    340     68  337.1  337.2  337.1
  192.0  12393  -61.9  -74.9     16   0.01    335     65  338.5  338.6  338.5
  181.0  12756  -62.9  -75.9     16   0.01    328     62  342.6  342.7  342.6
  176.0  12928  -61.1  -74.1     16   0.01    324     60  348.3  348.4  348.3
  172.0  13070  -61.9  -74.9     16   0.01    322     59  349.3  349.4  349.3
  161.0  13477  -62.7  -75.7     16   0.01    314     54  354.6  354.7  354.6
  150.0  13910  -64.7  -77.7     15   0.01    305     50  358.4  358.5  358.4
  141.0  14285  -67.7  -79.7     17   0.00    313     42  359.6  359.6  359.6
  138.0  14415  -67.5  -79.5     17   0.01    315     39  362.1  362.2  362.1
  133.1  14630  -68.8  -80.8     16   0.00    320     34  363.6  363.6  363.6
  127.0  14912  -70.5  -82.5     16   0.00    306     40  365.4  365.4  365.4
  126.5  14935  -70.6  -82.6     16   0.00    305     41  365.7  365.7  365.7
  120.2  15240  -71.7  -83.7     15   0.00    315     48  369.1  369.1  369.1
  119.0  15297  -71.9  -83.9     15   0.00    315     49  369.7  369.7  369.7
  116.0  15448  -70.7  -82.7     16   0.00    321     51  374.6  374.7  374.6
  114.1  15545  -70.7  -82.7     16   0.00    325     53  376.5  376.5  376.5
  108.4  15850  -70.5  -82.5     16   0.00    325     34  382.3  382.3  382.3
  108.0  15872  -70.5  -82.5     16   0.00    324     34  382.8  382.8  382.8
  104.0  16097  -69.7  -81.7     16   0.00    317     35  388.4  388.4  388.4
  100.0  16330  -71.3  -83.3     15   0.00    310     36  389.7  389.7  389.7
   91.8  16833  -74.1  -85.1     17   0.00    288     31  393.8  393.8  393.8
   85.0  17284  -72.5  -84.5     15   0.00    269     26  405.8  405.8  405.8
   83.7  17374  -72.6  -84.6     15   0.00    265     25  407.4  407.4  407.4
   77.0  17865  -73.1  -85.1     15   0.00    297     32  416.2  416.2  416.2
   75.5  17983  -72.1  -84.1     15   0.00    305     34  420.6  420.7  420.6
   72.5  18221  -70.1  -82.1     16   0.01    297     38  429.8  429.8  429.8
   71.7  18288  -69.9  -81.9     16   0.01    295     39  431.6  431.6  431.6
   70.0  18430  -69.5  -81.5     16   0.01    295     39  435.4  435.4  435.4
   66.2  18762  -68.3  -81.3     14   0.01    309     31  445.0  445.0  445.0
   64.7  18898  -66.5  -79.5     15   0.01    315     28  451.9  451.9  451.9
   63.8  18984  -65.3  -78.3     15   0.01    309     25  456.3  456.4  456.3
   61.5  19202  -64.7  -78.0     14   0.01    295     19  462.3  462.4  462.3
   57.4  19627  -63.5  -77.5     13   0.02    309     25  474.3  474.5  474.4
   55.7  19812  -63.5  -77.5     13   0.02    315     27  478.6  478.7  478.6
   50.4  20422  -63.3  -77.3     13   0.02      5     26  492.8  492.9  492.8
   50.0  20470  -63.3  -77.3     13   0.02     15     22  493.9  494.0  493.9
   46.0  20982  -63.7  -77.7     13   0.02     38     11  504.8  505.0  504.8
   45.6  21031  -63.2  -77.2     13   0.02     40     10  507.3  507.4  507.3
   44.8  21145  -61.9  -75.9     14   0.03     25      6  513.0  513.2  513.0
   43.4  21336  -61.7  -75.7     14   0.03      0      0  518.0  518.2  518.0
   41.8  21575  -61.5  -75.5     14   0.03      7      2  524.3  524.5  524.3
   39.0  22003  -62.9  -76.9     14   0.03     18      4  531.2  531.5  531.2
   37.2  22296  -61.1  -76.1     12   0.03     26      6  543.1  543.3  543.1
   35.8  22533  -62.7  -76.7     14   0.03     33      8  544.9  545.2  544.9
   33.9  22870  -61.5  -76.5     12   0.03     42     10  556.6  556.9  556.6
   32.5  23131  -62.3  -76.3     14   0.04     49     12  561.2  561.5  561.2
   32.3  23165  -61.8  -76.0     13   0.04     50     12  563.5  563.8  563.5
   31.8  23266  -60.3  -75.3     12   0.04     49     13  570.1  570.5  570.1
   30.0  23630  -60.1  -75.1     12   0.05     45     15  580.2  580.6  580.2
   29.3  23777  -60.7  -75.7     12   0.04     50     14  582.5  582.9  582.5
   27.9  24079  -59.5  -74.5     13   0.06     60     11  593.9  594.4  594.0
   27.7  24128  -59.3  -74.3     13   0.06     58     11  595.8  596.3  595.8
   26.6  24384  -60.0  -75.0     12   0.06     50     11  601.0  601.5  601.0
   25.7  24597  -60.5  -75.5     12   0.05     47     14  605.3  605.8  605.3
   25.3  24689  -60.0  -75.2     12   0.06     45     15  609.1  609.6  609.1
   24.1  24994  -58.6  -74.2     12   0.07     60     19  622.0  622.6  622.0
   23.3  25212  -57.5  -73.5     11   0.08     60     17  631.3  632.0  631.3
   20.9  25908  -56.9  -73.7     10   0.09     60     12  653.3  654.1  653.4
   20.3  26085  -56.7  -73.7     10   0.09     86     11  659.1  659.9  659.1
   20.0  26180  -55.9  -73.9      9   0.09    100     10  664.3  665.1  664.4
   19.9  26213  -55.6  -73.6      9   0.09    100     11  666.4  667.2  666.4
   19.7  26276  -54.9  -72.9      9   0.10     92     11  670.3  671.2  670.3
   19.0  26518  -54.8  -73.1      9   0.10     60     13  678.0  679.0  678.0
