
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Sep 2011

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     -8                                                               
  925.0    707                                                               
  921.0    751   39.6    9.6     17   8.21    310      3  320.2  346.8  321.8
  907.0    891   37.4    7.4     16   7.17    323     11  319.3  342.6  320.7
  904.6    914   37.2    7.4     16   7.17    325     12  319.3  342.6  320.7
  874.5   1219   34.1    7.0     19   7.22    305     11  319.2  342.7  320.6
  862.0   1349   32.8    6.8     20   7.24    305     12  319.2  342.7  320.6
  850.0   1474   31.6    6.6     21   7.24    305     12  319.2  342.7  320.6
  816.2   1829   28.2    6.2     25   7.31    305     12  319.3  343.0  320.8
  788.2   2134   25.3    5.8     29   7.36    270     15  319.4  343.3  320.8
  761.3   2438   22.3    5.4     33   7.42    265     18  319.4  343.5  320.9
  735.2   2743   19.4    5.0     39   7.48    255     16  319.4  343.6  320.9
  711.0   3035   16.6    4.6     45   7.53    231     16  319.4  343.8  320.9
  700.0   3168   15.8    3.8     45   7.23    220     16  319.9  343.4  321.3
  660.3   3658   11.3    2.8     56   7.15    210      7  320.3  343.5  321.7
  644.0   3868    9.4    2.4     62   7.12    196     10  320.4  343.6  321.8
  613.6   4267    6.0   -1.9     57   5.47    170     15  320.9  338.9  322.0
  607.0   4356    5.2   -2.8     56   5.16    166     15  321.0  338.1  322.0
  583.0   4684    2.2   -3.8     65   4.98    153     14  321.2  337.7  322.2
  569.2   4877    1.0   -5.5     62   4.49    145     14  322.1  337.1  323.0
  557.0   5051    0.0   -7.0     59   4.08    149     16  322.9  336.6  323.7
  551.0   5138    0.4   -9.6     47   3.37    151     17  324.3  335.8  325.0
  534.0   5389   -0.7  -10.7     47   3.18    158     20  325.9  336.9  326.6
  527.5   5486   -1.6  -11.0     49   3.15    160     21  326.1  336.9  326.7
  500.0   5910   -5.3  -12.3     58   2.99    160     19  326.5  336.9  327.1
  488.1   6096   -6.9  -13.2     61   2.86    145     19  326.9  336.8  327.4
  469.2   6401   -9.4  -14.6     66   2.64    140     10  327.4  336.6  327.9
  434.0   7003  -14.5  -17.4     79   2.26    145      7  328.3  336.3  328.8
  433.6   7010  -14.5  -17.5     78   2.25    145      7  328.4  336.3  328.8
  422.0   7216  -14.9  -19.9     66   1.88    147      8  330.4  337.2  330.8
  417.0   7306  -15.3  -23.3     50   1.41    147      9  331.1  336.2  331.3
  415.0   7342  -15.5  -23.5     50   1.39    148      9  331.2  336.4  331.5
  411.0   7416  -15.7  -19.2     74   2.05    148     10  331.9  339.3  332.3
  400.0   7620  -16.5  -20.4     72   1.90    150     11  333.5  340.4  333.8
  385.0   7906  -18.9  -23.5     67   1.50    153     11  334.0  339.5  334.3
  367.0   8263  -20.3  -26.3     59   1.22    156     10  336.7  341.3  336.9
  348.0   8654  -24.1  -29.1     63   1.00    160     10  336.7  340.5  336.9
  325.1   9144  -27.9  -33.8     57   0.68    165      9  338.1  340.8  338.3
  300.0   9720  -32.3  -39.3     50   0.42    180      8  339.7  341.4  339.8
  257.0  10792  -39.9  -48.9     38   0.17    176     17  343.9  344.6  343.9
  250.3  10973  -41.4  -51.4     33   0.13    175     18  344.2  344.8  344.2
  250.0  10980  -41.5  -51.5     33   0.13    180     17  344.2  344.8  344.3
  224.0  11714  -47.7  -59.7     24   0.05    172     15  345.7  345.9  345.7
  218.1  11887  -49.2  -60.9     24   0.05    170     14  346.1  346.3  346.1
  200.0  12450  -53.9  -64.9     25   0.03    190     11  347.2  347.4  347.3
  198.5  12497  -54.4  -65.3     25   0.03    195     12  347.3  347.4  347.3
  193.0  12679  -56.1  -67.1     24   0.02    204     11  347.3  347.4  347.3
  180.0  13121  -58.9  -68.9     26   0.02    225      9  349.7  349.8  349.7
  174.0  13334  -59.3  -69.3     26   0.02    235      8  352.4  352.5  352.4
  165.0  13665  -62.5  -72.5     25   0.01    251      6  352.5  352.6  352.5
  150.0  14250  -66.5  -75.5     27   0.01    280      3  355.3  355.4  355.3
  148.1  14326  -67.1  -75.9     28   0.01    325      2  355.6  355.7  355.6
  141.0  14622  -69.3  -77.3     30   0.01    301      7  356.8  356.8  356.8
  133.8  14935  -71.1  -79.1     30   0.01    275     13  359.1  359.1  359.1
  132.0  15013  -71.5  -79.5     30   0.01    267     13  359.6  359.7  359.6
  127.0  15240  -72.0  -80.0     29   0.01    245     12  362.7  362.8  362.7
  124.0  15381  -72.3  -80.3     29   0.01    243     13  364.7  364.7  364.7
  115.0  15821  -75.3  -82.3     33   0.00    235     17  367.0  367.1  367.0
  114.4  15850  -75.3  -82.3     33   0.00    220     19  367.6  367.6  367.6
  111.0  16026  -75.1  -82.1     33   0.00    229     14  371.1  371.2  371.1
  110.0  16079  -72.9  -80.9     29   0.01    231     13  376.2  376.3  376.2
  108.6  16154  -72.5  -80.5     29   0.01    235     11  378.4  378.4  378.4
  108.0  16186  -72.3  -80.3     29   0.01    230     11  379.4  379.4  379.4
  106.0  16296  -72.7  -80.7     29   0.01    214     10  380.6  380.6  380.6
  104.0  16408  -71.1  -79.1     30   0.01    197      9  385.8  385.8  385.8
  103.1  16459  -71.2  -79.2     30   0.01    190      9  386.4  386.5  386.4
  100.0  16640  -71.7  -79.7     29   0.01    170     22  388.9  389.0  388.9
   95.2  16930  -72.7  -80.7     29   0.01    135     18  392.5  392.5  392.5
   92.7  17088  -69.3  -78.3     26   0.01    116     16  402.2  402.2  402.2
   84.6  17636  -67.5  -76.5     27   0.01     51      8  416.5  416.6  416.5
   83.7  17701  -65.3  -75.3     24   0.02     43      7  422.2  422.3  422.2
   79.9  17983  -65.5  -75.5     24   0.02     10      3  427.4  427.6  427.4
   76.0  18289  -65.7  -75.7     24   0.02    140     19  433.2  433.3  433.2
   74.1  18443  -64.5  -74.5     24   0.02    153     22  438.9  439.0  438.9
   72.3  18593  -65.2  -75.2     24   0.02    165     24  440.5  440.6  440.5
   70.5  18747  -65.9  -75.9     24   0.02    188     16  442.2  442.3  442.2
   70.0  18790  -65.7  -75.7     24   0.02    195     14  443.5  443.6  443.5
   68.8  18898  -65.3  -75.5     23   0.02    195     11  446.7  446.8  446.7
   65.5  19202  -64.0  -74.9     21   0.02    140     12  455.7  455.9  455.8
   60.1  19724  -61.9  -73.9     19   0.03     93      5  471.7  471.9  471.7
   59.2  19812  -62.0  -74.0     18   0.03     85      4  473.5  473.7  473.5
   56.4  20117  -62.2  -74.5     18   0.03     50     18  479.7  479.9  479.7
   53.7  20422  -62.4  -75.0     17   0.03    100     29  486.1  486.2  486.1
   50.2  20835  -62.7  -75.7     16   0.03    105     22  494.7  494.9  494.8
   50.0  20860  -62.7  -75.7     16   0.03    105     22  495.3  495.5  495.3
   48.6  21031  -61.5  -75.5     14   0.03    115     16  502.0  502.2  502.1
   46.3  21336  -59.4  -75.1     11   0.03    105     17  514.2  514.5  514.2
   44.1  21641  -57.2  -74.8      9   0.03    120     15  526.7  527.0  526.7
   43.6  21715  -56.7  -74.7      9   0.04    108     15  529.8  530.0  529.8
   42.0  21946  -56.6  -76.0      7   0.03     70     13  535.6  535.8  535.6
   40.1  22250  -56.4  -77.8      5   0.02     80     19  543.4  543.5  543.4
   38.5  22504  -56.3  -79.3      4   0.02    105     18  549.9  550.1  549.9
   38.2  22555  -55.8  -79.9      3   0.02    110     18  552.4  552.5  552.4
   36.8  22792  -53.7  -82.7      2   0.01    114     19  563.8  563.9  563.8
   34.7  23165  -52.9  -84.1      1   0.01    120     20  575.2  575.3  575.2
   33.1  23474  -52.3  -85.3      1   0.01    108     20  584.8  584.9  584.8
   30.1  24079  -51.9  -84.9      1   0.01     85     20  601.7  601.8  601.7
   30.0  24110  -51.9  -84.9      1   0.01     85     23  602.5  602.6  602.5
   28.8  24384  -51.6  -84.7      1   0.01    105     20  610.8  610.9  610.8
   26.2  24994  -50.8  -84.2      1   0.01     80     21  629.5  629.6  629.5
   25.0  25298  -50.5  -84.0      1   0.01     75     30  639.0  639.1  639.0
   21.7  26213  -49.3  -83.2      1   0.02    100     40  668.5  668.7  668.5
   21.1  26400  -49.1  -83.1      1   0.02    100     38  674.7  674.9  674.7
   20.0  26750  -50.5  -84.5      1   0.02    100     34  680.8  681.0  680.8
   19.6  26882  -50.7  -84.7      1   0.02    104     35  684.2  684.3  684.2
