
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Apr 2012

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     58                                                               
  925.0    751   32.2   -5.8      8   2.69    265      6  312.2  321.1  312.7
  924.0    761   31.0  -18.0      3   1.01    265      6  311.1  314.6  311.3
  920.0    799   30.2  -18.8      3   0.95    265      8  310.7  314.0  310.8
  908.0    914   28.9  -20.1      3   0.86    265     13  310.5  313.6  310.7
  901.0    982   28.2  -20.8      3   0.81    266     12  310.5  313.3  310.6
  876.8   1219   25.9  -19.9      4   0.91    270     10  310.5  313.6  310.6
  850.0   1489   23.2  -18.8      5   1.03    255     13  310.4  314.0  310.6
  816.6   1829   19.8  -17.7      7   1.17    255     14  310.4  314.5  310.7
  787.8   2134   16.8  -16.7      9   1.32    250     13  310.4  314.9  310.7
  760.1   2438   13.8  -15.7     11   1.49    255     15  310.3  315.4  310.6
  733.3   2743   10.8  -14.7     15   1.67    265     11  310.2  315.9  310.6
  730.0   2781   10.4  -14.6     16   1.70    264     11  310.2  315.9  310.6
  700.0   3128    7.0  -14.0     21   1.86    255     10  310.2  316.4  310.6
  655.6   3658    1.9  -14.7     28   1.87    270      5  310.3  316.6  310.7
  631.4   3962   -1.0  -15.1     33   1.88    230     11  310.4  316.6  310.7
  621.0   4097   -2.3  -15.3     36   1.88    239     16  310.4  316.6  310.7
  607.9   4267   -1.6  -34.3      6   0.35    250     23  313.1  314.4  313.2
  607.0   4278   -1.5  -35.5      5   0.31    250     23  313.3  314.4  313.4
  604.0   4318   -0.1  -47.1      1   0.09    250     23  315.4  315.7  315.4
  601.0   4358   -0.1  -49.1      1   0.07    249     23  315.8  316.1  315.8
  562.6   4877   -4.2  -51.1      1   0.06    245     21  316.9  317.2  317.0
  520.7   5486   -9.1  -53.5      1   0.05    250     20  318.2  318.4  318.2
  514.0   5587   -9.9  -53.9      1   0.05    245     19  318.4  318.6  318.4
  500.0   5800  -11.1  -58.1      1   0.03    235     18  319.4  319.6  319.4
  494.0   5892  -11.3  -57.3      1   0.03    230     17  320.3  320.4  320.3
  480.9   6096  -12.7  -57.9      1   0.03    220     15  321.1  321.2  321.1
  447.0   6649  -16.5  -59.5      1   0.03    252     14  323.0  323.2  323.0
  443.6   6706  -17.0  -58.9      1   0.03    255     14  323.1  323.2  323.1
  400.0   7470  -23.9  -50.9      6   0.09    265     11  323.8  324.2  323.9
  391.7   7620  -25.3  -50.9      7   0.09    265     11  324.0  324.3  324.0
  359.0   8247  -31.1  -51.1     12   0.10    303      6  324.4  324.8  324.4
  355.0   8327  -31.5  -48.5     17   0.13    308      5  324.9  325.4  324.9
  347.0   8487  -32.7  -41.7     40   0.29    318      4  325.4  326.5  325.4
  337.0   8693  -33.7  -45.7     29   0.19    331      2  326.7  327.5  326.8
  330.0   8839  -34.3  -45.8     30   0.19    340      1  327.9  328.6  327.9
  323.0   8989  -34.9  -45.9     32   0.19     29      2  329.1  329.8  329.1
  315.9   9144  -36.1  -46.5     33   0.19     80      4  329.5  330.2  329.5
  300.0   9500  -38.9  -47.9     38   0.17    100     14  330.4  331.1  330.5
  290.0   9733  -40.7  -49.7     37   0.14    103     17  331.1  331.7  331.1
  250.0  10730  -48.3  -57.3     34   0.07    115     29  334.1  334.4  334.1
  242.0  10943  -49.9  -58.9     34   0.06    115     33  334.9  335.1  334.9
  233.0  11190  -51.5  -60.5     33   0.05    115     38  336.1  336.3  336.1
  230.0  11274  -50.5  -59.5     34   0.05    115     40  338.8  339.1  338.8
  229.9  11278  -50.5  -59.5     34   0.05    115     40  338.9  339.1  338.9
  223.0  11475  -51.5  -60.5     33   0.05     96     39  340.3  340.5  340.3
  219.3  11582  -51.2  -60.6     32   0.05     85     39  342.4  342.6  342.4
  214.0  11742  -50.7  -60.7     30   0.05     88     39  345.6  345.8  345.6
  200.0  12180  -53.5  -63.5     28   0.04     95     39  347.9  348.1  347.9
  199.6  12192  -53.5  -63.6     28   0.04     95     39  348.0  348.2  348.0
  181.5  12802  -55.7  -66.5     25   0.03    135     15  354.1  354.3  354.2
  178.0  12926  -56.1  -67.1     24   0.03    107     11  355.4  355.5  355.4
  173.0  13106  -57.2  -67.8     25   0.02     65      4  356.4  356.6  356.5
  165.0  13405  -59.1  -69.1     26   0.02     36     10  358.2  358.3  358.2
  157.0  13716  -60.1  -70.2     26   0.02      5     16  361.5  361.6  361.5
  150.0  14000  -61.1  -71.1     25   0.02     35     13  364.6  364.7  364.6
  142.3  14326  -62.4  -72.4     25   0.02     65     11  368.0  368.0  368.0
  138.0  14514  -63.1  -73.1     25   0.01     40      7  369.9  370.0  369.9
  135.4  14630  -62.9  -72.9     25   0.01     25      4  372.2  372.3  372.2
  128.8  14935  -62.4  -72.4     25   0.02     90     13  378.4  378.5  378.4
  127.0  15024  -62.3  -72.3     25   0.02     97     14  380.2  380.3  380.2
  122.5  15240  -64.0  -73.7     25   0.01    115     18  381.0  381.1  381.0
  111.0  15840  -68.7  -77.7     26   0.01    142     15  383.1  383.2  383.1
  104.0  16228  -69.5  -78.5     26   0.01    159     13  388.8  388.9  388.8
  100.0  16460  -71.3  -80.3     25   0.01    170     12  389.7  389.8  389.7
   88.8  17163  -71.9  -80.9     25   0.01    155     12  402.0  402.0  402.0
   81.7  17658  -68.9  -77.9     26   0.01    144     12  417.8  417.9  417.8
   76.6  18043  -70.3  -79.3     26   0.01    135     12  422.6  422.7  422.6
   73.5  18288  -70.2  -79.2     26   0.01    130     12  427.8  427.9  427.8
   70.0  18580  -70.1  -79.1     26   0.01    115     13  434.1  434.2  434.1
   67.9  18761  -69.5  -78.5     26   0.01    114     10  439.2  439.2  439.2
   65.4  18984  -70.9  -79.9     25   0.01    112      6  440.9  440.9  440.9
   63.1  19202  -68.7  -78.0     25   0.01    110      2  450.3  450.4  450.3
   58.9  19613  -64.5  -74.5     24   0.03    117     15  468.6  468.8  468.6
   57.0  19812  -65.6  -75.6     24   0.02    120     21  470.6  470.8  470.6
   55.7  19952  -66.3  -76.3     23   0.02    115     16  472.0  472.2  472.1
   54.2  20117  -65.1  -75.1     24   0.03    110     11  478.5  478.7  478.5
   52.8  20278  -63.9  -73.9     24   0.03     92     14  484.9  485.1  484.9
   51.6  20422  -64.7  -74.7     24   0.03     75     16  486.3  486.5  486.4
   50.0  20610  -65.7  -75.7     24   0.03     75     19  488.2  488.4  488.2
   49.0  20726  -66.1  -76.1     23   0.03     85     21  490.0  490.1  490.0
   48.6  20782  -66.3  -76.3     23   0.02     91     19  490.8  491.0  490.8
   46.7  21031  -64.8  -74.8     24   0.03    115     11  500.0  500.3  500.0
   46.2  21091  -64.5  -74.5     24   0.03    110     11  502.3  502.5  502.3
   45.4  21198  -62.1  -73.1     22   0.04    101     10  510.6  510.9  510.6
   44.4  21336  -62.4  -73.4     22   0.04     90     10  513.2  513.5  513.2
   40.5  21903  -63.5  -74.5     21   0.04    118     10  524.0  524.3  524.0
   40.2  21946  -62.9  -73.9     21   0.04    120     10  526.5  526.8  526.5
   39.4  22073  -61.3  -72.3     22   0.06    117      8  533.7  534.1  533.7
   36.5  22555  -62.0  -73.0     22   0.05    105      1  543.8  544.2  543.8
   36.2  22598  -62.1  -73.1     22   0.05    103      1  544.7  545.1  544.8
   33.8  23025  -59.5  -71.5     20   0.07     80      1  562.4  562.9  562.4
   30.0  23774  -60.9  -73.9     16   0.06     85      2  578.1  578.6  578.2
   30.0  23770  -60.9  -73.9     16   0.06     40      2  578.0  578.5  578.1
   28.5  24088  -60.9  -73.9     16   0.06     95     10  586.6  587.1  586.6
   27.2  24384  -59.1  -73.2     15   0.07    105     18  599.6  600.3  599.7
   26.1  24639  -57.5  -72.5     13   0.08    105     15  611.1  611.8  611.2
   24.7  24994  -58.5  -74.3     11   0.07    105     11  618.2  618.8  618.2
   24.4  25063  -58.7  -74.7     11   0.06    111     12  619.5  620.1  619.6
   23.5  25298  -57.2  -74.6      9   0.07    130     16  630.4  631.0  630.5
   22.4  25603  -55.3  -74.6      7   0.07    255      3  644.8  645.4  644.8
   21.4  25908  -53.5  -74.6      6   0.07    305     11  659.1  659.8  659.2
   21.4  25896  -53.5  -74.5      6   0.07    303     11  658.8  659.5  658.8
   20.0  26330  -53.7  -78.7      3   0.04    295     16  671.0  671.5  671.1
