
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Nov 2012

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     91                                                               
  928.0    751   29.8   -4.2     11   3.03    330      2  309.5  319.4  310.1
  925.0    774   29.0  -14.0      5   1.41    345      5  309.0  313.7  309.2
  913.0    889   27.8  -13.2      6   1.52    324      7  308.9  314.0  309.2
  910.4    914   27.6  -13.1      6   1.54    320      7  308.9  314.1  309.2
  879.2   1219   24.6  -12.1      8   1.72    310      5  308.9  314.7  309.3
  850.0   1514   21.8  -11.2     10   1.92    355      6  309.0  315.4  309.3
  819.2   1829   18.7  -10.8     12   2.06    355      3  308.9  315.8  309.3
  790.4   2134   15.7  -10.4     16   2.20    335      2  308.9  316.1  309.3
  773.0   2324   13.8  -10.2     18   2.29    276      3  308.9  316.4  309.3
  762.5   2438   12.8  -10.6     18   2.24    240      4  309.0  316.4  309.4
  735.0   2743   10.2  -11.7     20   2.13    210     11  309.4  316.5  309.9
  708.5   3048    7.7  -12.8     22   2.02    190     17  309.9  316.6  310.2
  700.0   3148    6.8  -13.2     22   1.99    190     17  310.0  316.6  310.4
  692.0   3242    6.0  -13.0     24   2.04    193     16  310.1  316.9  310.5
  661.0   3616    3.8  -35.2      4   0.29    204     10  311.7  312.8  311.8
  657.6   3658    3.6  -36.0      4   0.27    205      9  311.9  312.9  312.0
  631.0   3992    1.6  -42.4      2   0.15    240      6  313.4  313.9  313.4
  609.6   4267   -1.1  -42.3      3   0.15    270      3  313.4  313.9  313.4
  593.0   4488   -3.3  -42.3      3   0.16    265      3  313.3  313.9  313.3
  566.0   4855   -5.9  -40.9      4   0.19    256      4  314.4  315.2  314.5
  564.4   4877   -6.0  -41.2      4   0.19    255      4  314.6  315.3  314.6
  507.0   5713   -9.1  -52.1      2   0.06    193      8  320.6  320.9  320.6
  500.0   5820  -10.1  -48.1      3   0.10    185      8  320.7  321.1  320.7
  482.1   6096  -12.2  -46.7      4   0.12    265      6  321.4  321.9  321.4
  446.0   6687  -16.7  -43.7      8   0.18    273      5  323.0  323.7  323.0
  400.0   7490  -24.1  -45.1     13   0.17    285      3  323.6  324.3  323.6
  392.9   7620  -25.4  -45.7     13   0.16    265      3  323.6  324.3  323.6
  376.6   7925  -28.3  -47.0     15   0.15    255      4  323.7  324.3  323.7
  369.0   8072  -29.7  -47.7     16   0.14    260      6  323.7  324.2  323.7
  353.0   8388  -30.5  -50.5     12   0.11    270      9  326.7  327.2  326.8
  345.7   8534  -31.8  -51.5     13   0.10    275     11  326.9  327.3  326.9
  316.7   9144  -37.5  -55.4     14   0.07    270     17  327.4  327.7  327.4
  300.0   9520  -40.9  -57.9     14   0.05    260     19  327.6  327.8  327.6
  291.0   9726  -42.7  -58.7     16   0.05    260     19  327.9  328.1  327.9
  289.8   9754  -42.9  -58.8     16   0.05    260     19  328.0  328.2  328.0
  250.0  10730  -51.1  -63.1     23   0.03    280     21  330.0  330.1  330.0
  240.7  10973  -53.2  -65.2     22   0.02    290     21  330.4  330.5  330.4
  222.0  11493  -57.7  -69.7     20   0.01    287     22  331.2  331.3  331.2
  220.0  11550  -57.1  -69.1     20   0.02    287     22  333.0  333.1  333.0
  209.0  11874  -59.3  -71.3     20   0.01    285     23  334.5  334.5  334.5
  208.6  11887  -59.3  -71.3     20   0.01    280     23  334.6  334.7  334.6
  201.0  12119  -59.5  -71.5     20   0.01    280     32  337.9  338.0  337.9
  200.0  12150  -59.3  -71.3     20   0.01    280     33  338.7  338.8  338.7
  198.7  12192  -58.8  -70.8     20   0.01    285     32  340.2  340.3  340.2
  198.0  12213  -58.5  -70.5     20   0.01    284     32  340.9  341.0  340.9
  193.0  12373  -58.7  -70.7     20   0.01    273     35  343.1  343.2  343.1
  189.2  12497  -57.5  -69.5     20   0.02    265     37  347.0  347.1  347.0
  188.0  12539  -57.1  -69.1     20   0.02    265     38  348.3  348.4  348.3
  174.0  13025  -59.5  -71.5     20   0.01    268     44  352.1  352.2  352.1
  170.0  13170  -59.1  -71.1     20   0.02    269     46  355.1  355.2  355.1
  163.6  13411  -59.5  -71.5     20   0.01    270     49  358.3  358.4  358.3
  156.0  13707  -60.1  -72.1     19   0.01    278     47  362.3  362.3  362.3
  151.0  13909  -61.7  -73.7     19   0.01    284     46  362.9  363.0  362.9
  150.0  13950  -61.9  -73.9     19   0.01    285     46  363.2  363.3  363.2
  147.0  14075  -61.1  -73.1     19   0.01    285     45  366.7  366.8  366.7
  136.0  14556  -63.3  -75.3     18   0.01    283     42  371.1  371.1  371.1
  134.0  14647  -62.9  -74.9     18   0.01    282     42  373.4  373.4  373.4
  127.0  14975  -64.9  -76.9     18   0.01    281     40  375.5  375.6  375.5
  122.0  15221  -64.5  -76.5     18   0.01    280     38  380.6  380.6  380.6
  121.6  15240  -64.6  -76.6     18   0.01    280     38  380.7  380.8  380.7
  109.0  15903  -68.3  -79.3     19   0.01    277     32  385.9  385.9  385.9
  107.0  16014  -68.7  -79.7     19   0.01    277     31  387.2  387.2  387.2
  106.0  16070  -67.7  -78.7     20   0.01    276     31  390.1  390.2  390.1
  104.0  16185  -67.7  -78.7     20   0.01    276     30  392.2  392.3  392.2
  100.0  16420  -68.7  -79.7     19   0.01    275     28  394.7  394.8  394.7
   90.5  17014  -71.1  -82.1     18   0.01    270     33  401.4  401.4  401.4
   80.2  17731  -70.1  -81.1     19   0.01    274     29  417.5  417.6  417.5
   76.9  17983  -70.8  -81.8     18   0.01    275     27  421.2  421.2  421.2
   75.4  18097  -71.1  -82.1     18   0.01    277     24  422.9  422.9  422.9
   73.0  18288  -69.8  -80.8     19   0.01    280     18  429.5  429.6  429.5
   70.0  18540  -68.1  -79.1     19   0.01    255     16  438.4  438.4  438.4
   69.4  18593  -67.8  -78.9     19   0.01    255     18  440.1  440.2  440.1
   66.0  18898  -66.1  -77.8     18   0.01    265     14  450.3  450.4  450.3
   64.9  18997  -65.5  -77.5     17   0.02    283     15  453.6  453.7  453.6
   62.7  19202  -66.8  -78.8     17   0.01    320     16  455.1  455.1  455.1
   61.1  19362  -67.9  -79.9     17   0.01    323     14  456.2  456.2  456.2
   59.6  19507  -67.8  -79.8     17   0.01    325     12  459.6  459.7  459.6
   57.0  19779  -67.5  -79.5     17   0.01    289      2  466.2  466.3  466.2
   56.7  19812  -67.1  -79.1     17   0.01    285      1  467.8  467.9  467.9
   54.3  20074  -63.9  -75.9     18   0.02    276      5  481.0  481.2  481.0
   51.3  20422  -63.6  -75.6     18   0.03    265     11  489.5  489.7  489.5
   50.0  20580  -63.5  -75.5     18   0.03    265     14  493.4  493.6  493.4
   48.8  20726  -63.5  -75.5     18   0.03    255     16  496.8  497.0  496.8
   47.8  20856  -63.5  -75.5     18   0.03    261     15  499.8  500.0  499.8
   46.5  21031  -62.5  -74.8     18   0.03    270     14  506.2  506.5  506.2
   44.2  21336  -60.8  -73.5     17   0.04    265     13  517.6  517.9  517.6
   42.9  21526  -59.7  -72.7     17   0.05    259     15  524.8  525.2  524.9
   40.1  21946  -59.1  -72.5     16   0.05    245     19  536.4  536.8  536.4
   36.4  22555  -58.3  -72.2     15   0.06    300     12  553.6  554.1  553.6
   35.5  22713  -58.1  -72.1     15   0.06    279     11  558.2  558.7  558.2
   34.7  22860  -56.3  -71.1     14   0.07    260     11  566.6  567.2  566.6
   34.5  22893  -55.9  -70.9     14   0.08    261     11  568.5  569.1  568.5
   30.0  23780  -56.9  -71.9     13   0.08    290      7  588.9  589.6  589.0
   28.3  24150  -56.9  -71.9     13   0.08    281     10  598.8  599.5  598.9
   27.3  24384  -54.9  -71.1     12   0.10    275     12  610.8  611.6  610.8
   26.6  24546  -53.5  -70.5     11   0.11    298      9  619.1  620.0  619.1
   24.9  24972  -52.3  -70.3     10   0.12    357      0  634.4  635.4  634.4
   24.8  24994  -52.3  -70.3     10   0.12      0      0  634.8  635.9  634.9
   23.0  25485  -53.3  -71.3      9   0.11      0      3  646.0  647.0  646.0
   20.6  26198  -51.3  -71.3      7   0.12      0      7  672.7  673.9  672.7
   20.0  26390  -51.7  -71.7      7   0.12      0      8  677.2  678.3  677.2
   19.6  26521  -52.3  -72.3      7   0.11    358      9  679.2  680.3  679.3
   19.0  26723  -50.7  -72.7      6   0.11    355     10  690.3  691.3  690.3
