
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 May 2013

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     13                                                               
  925.0    711                                                               
  922.0    751   34.2   -8.8      6   2.14    265      7  314.6  321.8  315.0
  920.0    770   34.4   -9.6      5   2.02    261      8  315.0  321.8  315.4
  905.1    914   31.3  -11.1      6   1.82    230     19  313.2  319.4  313.6
  902.0    944   30.6  -11.4      6   1.78    230     19  312.8  318.9  313.2
  874.0   1219   27.9  -11.2      7   1.87    230     18  312.9  319.2  313.2
  873.0   1229   27.8  -11.2      7   1.87    231     18  312.9  319.2  313.2
  850.0   1460   25.8  -11.2      8   1.92    245     15  313.2  319.7  313.5
  814.0   1829   22.2  -11.7      9   1.93    255     11  313.2  319.8  313.6
  785.4   2134   19.2  -12.1     11   1.93    240     12  313.2  319.8  313.6
  757.9   2438   16.2  -12.5     13   1.94    255     14  313.2  319.8  313.6
  731.2   2743   13.2  -12.9     15   1.95    250     15  313.2  319.8  313.6
  700.0   3115    9.6  -13.4     18   1.95    255     15  313.1  319.7  313.4
  671.0   3464    6.0  -15.0     21   1.79    255     16  312.9  318.9  313.2
  655.0   3658    4.1  -15.4     23   1.78    255     16  312.9  318.9  313.2
  607.3   4267   -1.8  -16.5     31   1.74    245     14  312.9  318.9  313.3
  600.0   4365   -2.7  -16.7     33   1.73    251     12  312.9  318.8  313.3
  562.0   4877   -7.7  -17.4     46   1.74    285      4  313.0  318.9  313.4
  547.0   5088   -9.7  -17.7     52   1.75    282      5  313.0  318.9  313.3
  536.0   5245  -10.9  -18.9     52   1.61    279      6  313.4  318.9  313.7
  531.0   5317   -9.7  -26.7     24   0.82    278      7  315.7  318.6  315.8
  525.0   5405   -9.1  -42.1      5   0.18    276      8  317.4  318.1  317.5
  500.0   5780  -12.1  -48.1      3   0.10    270     10  318.2  318.6  318.2
  488.0   5965  -13.5  -48.5      3   0.10    261      8  318.7  319.1  318.7
  479.6   6096  -14.2  -49.2      3   0.09    255      7  319.4  319.8  319.4
  456.0   6479  -16.3  -51.3      3   0.07    262      8  321.4  321.8  321.5
  400.0   7450  -24.1  -57.1      3   0.04    280      9  323.6  323.8  323.6
  390.7   7620  -25.8  -57.1      4   0.04    290      7  323.6  323.7  323.6
  389.0   7653  -26.1  -57.1      4   0.04    293      7  323.6  323.7  323.6
  358.6   8230  -30.5  -58.9      4   0.04    355      4  325.3  325.4  325.3
  333.0   8758  -34.5  -60.5      5   0.03     51     10  326.7  326.9  326.8
  329.1   8839  -34.9  -60.6      5   0.03     60     11  327.3  327.4  327.3
  318.0   9079  -36.1  -61.1      6   0.03     76      8  328.9  329.0  328.9
  315.0   9144  -36.6  -61.2      6   0.03     80      7  329.0  329.1  329.0
  300.0   9480  -39.5  -61.5      8   0.03     80      9  329.6  329.7  329.6
  294.0   9618  -40.9  -62.9      8   0.03     65     11  329.5  329.6  329.5
  288.2   9754  -41.9  -58.8     14   0.05     50     13  329.9  330.1  329.9
  286.0   9805  -42.3  -57.3     18   0.06     50     13  330.1  330.4  330.1
  279.0   9973  -43.7  -65.7      7   0.02     50     13  330.4  330.5  330.4
  263.1  10363  -47.5  -67.0      9   0.02     50     14  330.4  330.5  330.4
  260.0  10443  -48.3  -67.3      9   0.02     44     14  330.4  330.5  330.4
  250.0  10700  -50.3  -65.3     15   0.02     25     15  331.1  331.3  331.2
  242.0  10912  -51.9  -65.9     17   0.02     17     17  331.9  331.9  331.9
  239.7  10973  -52.4  -67.4     15   0.02     15     18  332.1  332.1  332.1
  233.0  11156  -53.7  -71.7      9   0.01     15     18  332.7  332.8  332.7
  210.0  11816  -59.3  -74.3     13   0.01     15     20  334.0  334.1  334.0
  207.6  11887  -59.7  -74.2     13   0.01     15     20  334.4  334.5  334.4
  200.0  12120  -61.1  -74.1     16   0.01     25     14  335.9  335.9  335.9
  197.7  12192  -61.2  -74.9     15   0.01     20     10  336.9  336.9  336.9
  194.0  12309  -61.3  -76.3     12   0.01    351      7  338.5  338.5  338.5
  192.0  12373  -60.5  -75.5     12   0.01    336      5  340.8  340.8  340.8
  188.2  12497  -61.0  -76.3     12   0.01    305      2  341.9  342.0  341.9
  181.0  12738  -61.9  -77.9     10   0.01    258     13  344.3  344.3  344.3
  179.1  12802  -61.7  -78.3      9   0.00    245     16  345.6  345.6  345.6
  175.0  12946  -61.3  -79.3      8   0.00    251     22  348.6  348.6  348.6
  173.0  13018  -60.3  -79.3      7   0.00    254     25  351.4  351.4  351.4
  168.0  13201  -58.9  -80.9      4   0.00    261     33  356.7  356.7  356.7
  162.4  13411  -59.3  -84.0      3   0.00    270     42  359.5  359.5  359.5
  162.0  13428  -59.3  -84.3      3   0.00    270     42  359.7  359.7  359.7
  156.0  13664  -58.3  -85.3      2   0.00    275     42  365.3  365.3  365.3
  151.0  13868  -59.1  -86.1      2   0.00    279     42  367.4  367.4  367.4
  150.0  13910  -59.1  -86.1      2   0.00    280     42  368.1  368.1  368.1
  145.0  14123  -58.5  -86.5      2   0.00    280     44  372.7  372.7  372.7
  142.0  14254  -59.3  -87.3      2   0.00    280     45  373.5  373.5  373.5
  133.7  14630  -58.8  -87.4      1   0.00    280     48  380.8  380.8  380.8
  128.0  14905  -58.5  -87.5      1   0.00    271     49  386.2  386.2  386.2
  121.3  15240  -59.6  -88.6      1   0.00    260     51  390.1  390.1  390.1
  121.0  15257  -59.7  -88.7      1   0.00    260     51  390.3  390.3  390.3
  118.0  15414  -58.9  -88.9      1   0.00    263     53  394.6  394.6  394.6
  115.5  15545  -59.4  -89.1      1   0.00    265     54  395.9  395.9  395.9
  110.0  15852  -60.7  -89.7      1   0.00    262     51  399.2  399.2  399.2
  100.0  16440  -64.1  -91.1      1   0.00    255     44  403.6  403.6  403.6
   94.9  16760  -64.1  -91.1      1   0.00    264     43  409.7  409.7  409.7
   88.9  17158  -66.3  -92.3      2   0.00    275     42  413.0  413.0  413.0
   85.2  17416  -65.3  -91.3      2   0.00    269     37  420.1  420.1  420.1
   73.8  18288  -65.3  -92.2      1   0.00    250     21  437.7  437.7  437.7
   73.0  18356  -65.3  -92.3      1   0.00    249     22  439.1  439.1  439.1
   70.6  18558  -66.5  -92.5      2   0.00    246     26  440.7  440.7  440.7
   70.0  18610  -66.1  -93.1      1   0.00    245     27  442.6  442.6  442.6
   67.1  18867  -64.9  -91.9      1   0.00    241     31  450.6  450.6  450.6
   66.8  18898  -65.0  -91.9      1   0.00    240     31  451.1  451.2  451.1
   63.5  19202  -65.5  -91.8      2   0.00    260     33  456.4  456.4  456.4
   62.4  19308  -65.7  -91.7      2   0.00    267     31  458.3  458.3  458.3
   60.4  19507  -64.5  -91.0      2   0.00    280     26  465.3  465.3  465.3
   57.5  19812  -62.6  -90.0      1   0.00    260     18  476.2  476.2  476.2
   54.8  20117  -60.7  -89.1      1   0.00    250     14  487.3  487.3  487.3
   50.2  20655  -57.3  -87.3      1   0.00    236     17  507.4  507.5  507.4
   50.0  20680  -57.5  -87.5      1   0.00    235     17  507.5  507.6  507.5
   49.6  20726  -57.6  -87.6      1   0.00    235     16  508.4  508.4  508.4
   47.3  21031  -58.2  -87.9      1   0.00    250     23  513.9  514.0  513.9
   45.0  21336  -58.9  -88.3      1   0.00    240     13  519.5  519.5  519.5
   41.8  21805  -59.9  -88.9      1   0.00    217     12  528.2  528.3  528.2
   40.9  21946  -59.2  -88.5      1   0.00    210     12  533.4  533.4  533.4
   35.4  22860  -54.5  -85.9      1   0.01    155     13  567.9  568.0  567.9
   33.9  23135  -53.1  -85.1      1   0.01    160     12  578.7  578.8  578.7
   31.1  23689  -54.9  -85.9      1   0.01    171     11  588.3  588.4  588.3
   30.2  23877  -53.3  -85.3      1   0.01    174     11  597.6  597.7  597.6
   30.0  23920  -53.3  -84.3      1   0.01    175     11  598.7  598.8  598.7
   27.9  24384  -52.9  -84.9      1   0.01    170     21  612.2  612.3  612.2
   27.8  24411  -52.9  -84.9      1   0.01    171     20  613.0  613.1  613.0
   26.6  24689  -50.8  -83.7      1   0.01    185     14  626.6  626.8  626.6
   26.5  24722  -50.5  -83.5      1   0.01    184     14  628.2  628.4  628.2
   23.1  25603  -52.9  -84.0      1   0.01    145     24  646.2  646.4  646.2
   22.8  25697  -53.1  -84.1      1   0.01    153     24  648.2  648.3  648.2
