
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Jul 2013

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     -4                                                               
  925.0    716                                                               
  922.0    751   41.8    6.8     12   6.76    320      3  322.3  344.6  323.7
  912.0    851   39.4    5.4     13   6.20    332     10  320.9  341.3  322.1
  905.6    914   38.8    5.3     13   6.19    340     15  320.9  341.2  322.1
  875.6   1219   35.8    4.7     15   6.15    315     17  320.9  341.1  322.1
  850.0   1487   33.2    4.2     16   6.12    320     18  320.9  341.0  322.1
  846.5   1524   32.8    4.2     16   6.12    320     18  320.9  341.1  322.1
  817.8   1829   29.9    3.8     19   6.19    320     12  321.0  341.3  322.2
  790.1   2134   27.0    3.5     22   6.25    310     13  321.0  341.6  322.2
  763.5   2438   24.1    3.1     26   6.31    310     17  321.0  341.8  322.3
  754.0   2548   23.0    3.0     27   6.34    308     17  321.0  341.8  322.3
  737.2   2743   21.2    2.7     30   6.34    305     17  321.1  341.9  322.4
  700.0   3189   17.0    2.0     36   6.36    300     15  321.3  342.1  322.5
  661.9   3658   12.5    1.1     46   6.29    290     16  321.4  342.0  322.6
  628.0   4099    8.2    0.2     57   6.22    290     12  321.4  341.8  322.6
  615.3   4267    6.6   -0.1     62   6.23    290     10  321.4  341.8  322.6
  609.0   4352    5.8   -0.2     65   6.23    308      8  321.4  341.9  322.6
  604.0   4419    5.4   -2.6     56   5.26    322      6  321.7  339.1  322.7
  592.8   4572    4.1   -2.1     64   5.57    355      1  321.9  340.3  323.0
  582.0   4721    2.8   -1.6     73   5.88     29      3  322.1  341.5  323.2
  570.8   4877    1.6   -2.5     74   5.61     65      6  322.6  341.1  323.6
  549.4   5182   -0.6   -4.3     76   5.10     80     19  323.4  340.4  324.4
  518.0   5652   -4.1   -7.0     80   4.39     88     20  324.7  339.5  325.5
  509.0   5790   -5.1   -9.1     73   3.79     90     20  325.1  338.0  325.8
  508.9   5791   -5.1   -9.1     74   3.79     90     20  325.1  338.0  325.9
  504.0   5867   -5.3   -9.1     75   3.83     85     19  325.8  338.8  326.5
  500.0   5930   -5.5  -10.4     68   3.48     80     19  326.3  338.2  327.0
  489.6   6096   -6.2  -13.8     55   2.71     80     18  327.4  336.9  327.9
  488.0   6121   -6.3  -14.3     53   2.60     78     18  327.6  336.7  328.1
  479.0   6267   -7.7  -14.7     57   2.57     63     17  327.6  336.6  328.1
  473.0   6365   -8.5  -13.1     69   2.96     54     17  327.8  338.1  328.4
  470.8   6401   -8.8  -13.3     70   2.93     50     17  327.9  338.1  328.4
  453.0   6700  -11.1  -15.1     72   2.63     57     19  328.6  337.8  329.1
  428.0   7136  -13.1  -21.1     51   1.67     66     21  331.4  337.5  331.7
  418.1   7315  -14.6  -20.3     62   1.83     70     22  331.7  338.3  332.1
  415.0   7371  -15.1  -20.1     66   1.88     69     21  331.8  338.6  332.1
  402.0   7612  -16.3  -25.3     46   1.22     65     19  333.2  337.8  333.5
  401.6   7620  -16.3  -25.8     44   1.18     65     19  333.3  337.7  333.5
  400.0   7650  -16.5  -27.5     38   1.01     70     20  333.5  337.2  333.7
  385.5   7925  -18.5  -31.7     30   0.70     70     16  334.4  337.1  334.5
  381.0   8013  -19.1  -33.1     28   0.62     64     16  334.7  337.1  334.8
  369.9   8230  -20.8  -35.1     27   0.53     50     17  335.2  337.3  335.4
  340.4   8839  -25.7  -40.6     23   0.33     85     12  336.7  338.0  336.8
  338.0   8890  -26.1  -41.1     23   0.31     85     12  336.8  338.1  336.9
  326.3   9144  -27.9  -47.4     14   0.16     85      9  337.7  338.4  337.8
  325.0   9173  -28.1  -48.1     13   0.15     86      9  337.8  338.5  337.9
  300.0   9740  -33.1  -50.1     17   0.13    105      6  338.6  339.2  338.6
  299.4   9754  -33.2  -50.1     17   0.13    100      6  338.6  339.2  338.6
  290.0   9978  -35.3  -50.3     20   0.13     99      9  338.8  339.3  338.8
  262.4  10668  -40.1  -56.8     15   0.07     95     18  341.6  341.9  341.6
  257.0  10812  -41.1  -58.1     14   0.06     91     17  342.1  342.4  342.1
  250.0  11000  -42.7  -59.7     14   0.05     85     16  342.4  342.7  342.5
  229.1  11582  -48.1  -62.5     17   0.04     65     17  342.9  343.1  342.9
  226.0  11671  -48.9  -62.9     18   0.04     64     16  343.0  343.1  343.0
  207.0  12240  -54.1  -64.1     28   0.03     54     11  343.5  343.7  343.6
  200.0  12460  -55.5  -67.5     21   0.02     50      9  344.7  344.8  344.7
  199.0  12492  -55.7  -67.7     21   0.02     59     11  344.9  345.0  344.9
  198.8  12497  -55.7  -67.7     21   0.02     60     11  345.0  345.1  345.0
  196.0  12588  -55.5  -68.5     18   0.02     58     10  346.7  346.8  346.7
  180.4  13106  -59.8  -70.5     23   0.02     45      1  348.1  348.2  348.1
  169.0  13512  -63.1  -72.1     29   0.01     71      8  349.1  349.1  349.1
  163.5  13716  -63.0  -71.4     31   0.02     85     12  352.6  352.7  352.6
  160.0  13847  -62.9  -70.9     33   0.02    100     15  354.9  355.0  354.9
  156.0  14002  -63.7  -72.7     28   0.01    118     19  356.1  356.2  356.1
  155.5  14021  -63.9  -73.0     28   0.01    120     19  356.2  356.2  356.2
  150.0  14240  -65.9  -75.9     24   0.01    130     19  356.4  356.4  356.4
  137.0  14785  -70.3  -80.3     22   0.00     98     17  357.9  358.0  357.9
  130.0  15097  -70.3  -82.3     16   0.00     79     16  363.4  363.4  363.4
  126.9  15240  -70.8  -83.0     15   0.00     70     16  365.0  365.0  365.0
  117.0  15719  -72.5  -85.5     13   0.00     80     12  370.4  370.4  370.4
  110.0  16083  -71.5  -85.5     11   0.00    106     14  378.9  378.9  378.9
  107.0  16247  -69.3  -84.3     10   0.00    117     15  386.0  386.1  386.0
  101.0  16591  -70.7  -86.7      8   0.00    141     17  389.8  389.8  389.8
  100.0  16650  -70.3  -86.3      8   0.00    145     17  391.6  391.7  391.6
   96.0  16892  -70.1  -85.1     10   0.00    132     18  396.6  396.6  396.6
   94.7  16974  -68.1  -84.1      9   0.00    128     19  402.1  402.1  402.1
   92.9  17089  -68.1  -86.1      6   0.00    122     20  404.3  404.3  404.3
   85.2  17606  -70.1  -89.1      5   0.00     95     23  410.4  410.4  410.4
   80.0  17983  -67.3  -87.9      4   0.00     75     25  423.7  423.7  423.7
   79.0  18059  -66.7  -87.7      4   0.00     80     23  426.4  426.4  426.4
   76.0  18288  -67.5  -89.3      3   0.00     95     17  429.3  429.3  429.3
   75.4  18340  -67.7  -89.7      3   0.00     89     18  430.0  430.0  430.0
   73.3  18510  -65.7  -89.7      2   0.00     69     21  437.7  437.7  437.7
   72.3  18593  -65.8  -89.8      2   0.00     60     22  439.3  439.3  439.3
   70.0  18790  -65.9  -89.9      2   0.00     65     25  443.1  443.1  443.1
   64.4  19297  -66.1  -91.1      2   0.00     90     28  453.3  453.3  453.3
   62.2  19507  -63.0  -89.5      2   0.00    100     29  464.7  464.7  464.7
   60.2  19712  -59.9  -87.9      1   0.00    105     27  476.0  476.0  476.0
   55.0  20280  -57.7  -87.7      1   0.00    117     22  493.4  493.5  493.4
   53.8  20422  -58.1  -87.9      1   0.00    120     21  495.7  495.7  495.7
   51.2  20726  -59.0  -88.3      1   0.00    105     15  500.4  500.4  500.4
   50.0  20880  -59.5  -88.5      1   0.00    100     19  502.8  502.9  502.8
   48.3  21096  -59.9  -88.9      1   0.00     95     23  506.9  506.9  506.9
   46.5  21336  -59.1  -88.3      1   0.00     90     28  514.3  514.3  514.3
   44.3  21641  -58.1  -87.6      1   0.00     75     26  523.9  523.9  523.9
   42.2  21946  -57.1  -86.9      1   0.00    105     28  533.6  533.6  533.6
   40.3  22250  -56.1  -86.1      1   0.01     80     31  543.5  543.5  543.5
   34.9  23165  -53.0  -84.0      1   0.01    100     25  574.2  574.3  574.2
   34.3  23269  -52.7  -83.7      1   0.01     93     26  577.8  577.9  577.8
   33.2  23470  -53.4  -84.4      1   0.01     80     27  581.1  581.2  581.1
   32.3  23655  -54.1  -85.1      1   0.01     89     29  584.1  584.2  584.1
   31.7  23774  -53.8  -84.8      1   0.01     95     31  588.0  588.1  588.0
   30.2  24079  -53.0  -84.0      1   0.01     85     39  598.1  598.2  598.1
   30.0  24130  -52.9  -83.9      1   0.01     90     38  599.8  599.9  599.8
