
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Jun 2015

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     40                                                               
  925.0    751   39.0    2.0     10   4.80    205      3  319.2  335.0  320.1
  915.0    850   36.8   -0.2     10   4.14    208      4  317.9  331.6  318.7
  908.5    914   36.0   -0.3     10   4.13    210      5  317.8  331.4  318.6
  905.0    949   35.6   -0.4     10   4.12    213      5  317.7  331.3  318.5
  878.0   1219   33.0   -0.6     12   4.19    240      4  317.7  331.6  318.5
  850.0   1508   30.2   -0.8     13   4.26    255      4  317.8  331.8  318.6
  819.5   1829   26.9   -1.3     16   4.25    255      6  317.7  331.7  318.5
  791.6   2134   23.9   -1.9     18   4.24    285      5  317.5  331.5  318.3
  784.0   2219   23.0   -2.0     19   4.23    288      5  317.5  331.4  318.3
  764.2   2438   20.9   -2.3     21   4.26    295      5  317.6  331.6  318.4
  737.5   2743   18.0   -2.6     24   4.29    300      3  317.6  331.8  318.5
  700.0   3189   13.8   -3.2     31   4.34    260      6  317.7  332.0  318.6
  661.7   3658    9.0   -4.7     38   4.10    240      3  317.5  331.0  318.3
  654.0   3755    8.0   -5.0     39   4.05    249      3  317.4  330.8  318.2
  613.6   4267    3.0   -6.1     51   3.97    300      3  317.6  330.6  318.3
  568.8   4877   -2.9   -7.4     71   3.87    270      2  317.6  330.4  318.3
  547.6   5182   -5.8   -8.1     84   3.82    230      2  317.5  330.1  318.3
  547.0   5191   -5.9   -8.1     84   3.82    229      2  317.5  330.1  318.3
  536.0   5350   -6.7   -9.9     78   3.38    208      6  318.4  329.7  319.1
  530.0   5438   -6.5  -14.5     53   2.36    197      8  319.7  327.7  320.1
  525.0   5512   -7.3  -15.3     53   2.23    187     10  319.6  327.2  320.0
  520.0   5586   -7.5  -20.5     35   1.45    177     12  320.2  325.3  320.5
  510.0   5737   -8.7  -18.7     44   1.72    157     16  320.6  326.6  320.9
  508.0   5767   -8.7  -15.7     57   2.23    153     16  320.9  328.6  321.3
  506.4   5791   -8.6  -21.1     36   1.41    150     17  321.3  326.3  321.6
  504.0   5828   -8.5  -29.5     17   0.66    156     16  321.9  324.3  322.0
  500.0   5890   -8.7  -32.7     12   0.49    165     15  322.4  324.2  322.5
  497.0   5937   -8.7  -32.7     12   0.50    169     15  322.9  324.8  323.0
  486.8   6096   -9.8  -33.6     12   0.46    185     13  323.6  325.3  323.6
  433.0   6994  -15.7  -38.7     12   0.31    224      8  327.0  328.2  327.1
  422.0   7188  -16.3  -47.3      5   0.13    232      7  328.6  329.2  328.7
  400.0   7590  -19.5  -48.5      6   0.12    250      5  329.6  330.1  329.6
  398.4   7620  -19.8  -48.5      6   0.12    255      5  329.6  330.1  329.6
  366.6   8230  -25.4  -48.5     10   0.13    290      1  330.0  330.6  330.1
  366.0   8243  -25.5  -48.5     10   0.13    290      1  330.0  330.6  330.1
  350.0   8566  -27.7  -51.7      8   0.09    285      6  331.3  331.7  331.3
  336.9   8839  -28.7  -56.7      5   0.05    280     11  333.6  333.8  333.6
  334.0   8902  -28.9  -57.9      4   0.05    278     11  334.1  334.3  334.1
  322.7   9144  -31.0  -57.5      6   0.05    270     11  334.5  334.7  334.5
  309.1   9449  -33.7  -56.9      8   0.06    255     12  334.9  335.2  334.9
  300.0   9660  -35.5  -56.5     10   0.06    275     12  335.2  335.5  335.2
  295.9   9754  -36.3  -56.6     10   0.06    275     12  335.4  335.7  335.4
  258.7  10668  -44.3  -58.0     20   0.06    295     24  336.8  337.1  336.8
  250.0  10900  -46.3  -58.3     24   0.06    290     29  337.1  337.4  337.1
  247.2  10973  -47.0  -58.3     26   0.06    285     30  337.2  337.4  337.2
  233.0  11363  -50.5  -58.5     38   0.06    286     30  337.6  337.9  337.6
  223.0  11647  -52.7  -66.7     17   0.02    287     30  338.5  338.6  338.5
  203.0  12246  -57.3  -67.3     27   0.02    290     29  340.4  340.5  340.4
  200.0  12340  -57.9  -66.9     31   0.02    290     29  340.9  341.0  340.9
  192.0  12596  -59.3  -68.3     30   0.02    292     28  342.7  342.8  342.7
  176.9  13106  -61.4  -74.0     17   0.01    295     26  347.3  347.4  347.3
  171.0  13315  -62.3  -76.3     14   0.01    295     32  349.2  349.3  349.2
  162.0  13649  -61.9  -78.9      9   0.00    295     42  355.3  355.4  355.4
  160.2  13716  -62.4  -79.2      9   0.00    295     44  355.6  355.7  355.6
  150.0  14120  -65.3  -81.3      9   0.00    310     32  357.4  357.4  357.4
  145.0  14326  -66.7  -82.7      9   0.00    305     30  358.4  358.5  358.4
  145.0  14326  -66.7  -82.7      9   0.00    305     30  358.4  358.5  358.4
  125.0  15217  -70.3  -86.3      8   0.00    300     57  367.4  367.5  367.4
  124.5  15240  -70.3  -86.3      8   0.00    300     58  367.9  367.9  367.9
  122.0  15361  -70.3  -86.3      8   0.00    314     48  370.0  370.0  370.0
  121.0  15410  -68.9  -85.9      7   0.00    320     43  373.4  373.4  373.4
  118.3  15545  -68.0  -85.9      6   0.00    335     32  377.5  377.5  377.5
  118.0  15561  -67.9  -85.9      6   0.00    335     32  378.0  378.0  378.0
  112.4  15850  -69.4  -88.1      5   0.00    330     25  380.4  380.4  380.4
  110.0  15981  -70.1  -89.1      5   0.00    330     25  381.5  381.5  381.5
  107.0  16146  -70.1  -89.1      5   0.00    330     25  384.5  384.5  384.5
  105.0  16259  -69.1  -89.1      4   0.00    330     24  388.5  388.5  388.5
  100.0  16550  -70.1  -90.1      4   0.00    330     24  392.0  392.0  392.0
   97.9  16676  -70.1  -90.1      4   0.00    338     23  394.4  394.4  394.4
   94.8  16868  -67.3  -89.3      3   0.00    351     22  403.5  403.6  403.5
   87.8  17327  -69.3  -91.3      3   0.00     22     19  408.5  408.5  408.5
   77.1  18112  -63.9  -88.9      2   0.00     73     13  435.2  435.2  435.2
   74.9  18288  -64.7  -90.2      2   0.00     85     12  437.2  437.2  437.2
   73.1  18436  -65.3  -91.3      2   0.00    143     10  438.9  438.9  438.9
   70.0  18700  -64.3  -90.3      2   0.00    245      6  446.5  446.5  446.5
   68.7  18816  -63.3  -90.3      1   0.00    268      6  451.0  451.0  451.0
   64.5  19202  -64.0  -91.0      1   0.00    345      4  457.7  457.8  457.7
   62.5  19398  -64.3  -91.3      1   0.00      3      6  461.2  461.2  461.2
   58.4  19812  -63.7  -90.7      1   0.00     40     11  471.5  471.5  471.5
   56.1  20064  -63.3  -90.3      1   0.00     52     12  477.9  477.9  477.9
   55.6  20117  -62.4  -89.8      1   0.00     55     12  481.1  481.1  481.1
   54.9  20198  -61.1  -89.1      1   0.00     53     11  485.9  485.9  485.9
   52.8  20441  -62.5  -90.5      1   0.00     48     10  488.1  488.1  488.1
   50.0  20780  -61.3  -89.3      1   0.00     40      7  498.6  498.6  498.6
   49.4  20855  -61.3  -89.3      1   0.00     48      9  500.3  500.3  500.3
   47.9  21048  -57.3  -87.3      1   0.00     67     12  514.3  514.3  514.3
   45.8  21336  -56.0  -86.9      1   0.00     95     18  524.1  524.2  524.1
   45.6  21359  -55.9  -86.9      1   0.00     98     18  524.9  525.0  525.0
   43.6  21641  -56.5  -87.1      1   0.00    140     12  530.2  530.2  530.2
   41.1  22018  -57.3  -87.3      1   0.00     94      5  537.3  537.3  537.3
   39.6  22250  -56.2  -87.0      1   0.01     65      1  545.7  545.7  545.7
   39.2  22318  -55.9  -86.9      1   0.01     72      5  548.1  548.2  548.1
   37.8  22555  -56.4  -87.2      1   0.01     95     19  552.7  552.7  552.7
   34.3  23165  -57.8  -87.9      1   0.01    115     17  564.5  564.5  564.5
   33.6  23292  -58.1  -88.1      1   0.01     98     15  567.0  567.0  567.0
   32.7  23470  -56.8  -87.4      1   0.01     75     12  575.1  575.1  575.1
   32.2  23561  -56.1  -87.1      1   0.01     72     14  579.3  579.3  579.3
   31.1  23774  -56.4  -86.9      1   0.01     65     18  584.1  584.1  584.1
   30.0  24010  -56.7  -86.7      1   0.01     75     16  589.5  589.5  589.5
   29.4  24138  -56.7  -86.7      1   0.01     75     13  592.9  593.0  592.9
   28.3  24384  -55.7  -86.4      1   0.01     75      7  602.2  602.3  602.2
   24.8  25227  -52.3  -85.3      1   0.01     97      9  635.1  635.2  635.1
   22.3  25908  -52.3  -84.5      1   0.01    115     11  654.5  654.6  654.5
