
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Oct 2016

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    103                                                               
  931.0    751   29.6   10.6     31   8.69    140      4  309.0  335.9  310.6
  927.0    780   28.2    9.2     30   7.94    147      7  307.9  332.4  309.4
  925.0    795   28.0    9.0     30   7.84    150      9  307.9  332.2  309.4
  912.6    914   26.9    8.9     32   7.91    150      9  307.9  332.4  309.4
  881.4   1219   23.9    8.7     38   8.07    140      9  308.0  332.8  309.5
  868.0   1354   22.6    8.6     41   8.14    142      8  308.0  333.1  309.5
  850.0   1536   21.8    5.8     35   6.85    145      7  309.0  330.3  310.2
  840.0   1638   21.2    5.2     35   6.64    178      5  309.4  330.1  310.6
  821.6   1829   19.9    6.5     41   7.42    240      2  310.0  333.1  311.4
  811.0   1942   19.2    7.2     46   7.91    260      2  310.4  335.0  311.9
  793.0   2134   17.3    7.8     54   8.46    295      3  310.3  336.6  311.9
  783.0   2242   16.2    8.2     59   8.79    290      4  310.3  337.6  311.9
  765.0   2438   14.5    6.8     60   8.18    280      5  310.5  336.0  312.0
  737.9   2743   11.8    4.7     62   7.31    270     11  310.8  333.7  312.2
  734.0   2788   11.4    4.4     62   7.19    270     11  310.8  333.4  312.2
  727.0   2868   11.0    2.0     54   6.12    269     11  311.2  330.6  312.4
  700.0   3182    8.0    2.0     66   6.36    265     10  311.3  331.3  312.5
  688.0   3324    6.6    1.6     70   6.28    259     11  311.3  331.1  312.5
  682.0   3396    6.4    0.4     65   5.81    256     12  311.9  330.3  312.9
  665.0   3603    4.8   -1.2     65   5.30    247     14  312.3  329.2  313.3
  660.5   3658    4.7   -2.8     58   4.72    245     15  312.8  327.9  313.6
  659.0   3677    4.6   -3.4     56   4.54    245     15  312.9  327.5  313.8
  652.0   3764    4.0   -5.0     52   4.06    247     16  313.2  326.4  313.9
  648.0   3814    3.8   -9.2     38   2.95    248     16  313.5  323.2  314.1
  637.0   3952    3.0  -12.0     32   2.40    250     17  314.1  322.2  314.6
  628.0   4067    2.4  -13.6     30   2.14    252     18  314.7  321.9  315.1
  615.0   4236    0.8   -9.2     47   3.11    254     19  314.8  325.1  315.4
  612.6   4267    0.7  -11.3     40   2.65    255     19  315.0  323.9  315.5
  609.0   4314    0.6  -14.4     32   2.07    255     19  315.4  322.4  315.8
  596.0   4487   -0.7  -18.7     24   1.47    255     20  315.9  321.0  316.1
  592.0   4540   -1.1  -15.1     34   2.01    255     20  316.0  322.9  316.4
  577.0   4745   -2.1  -14.1     39   2.24    255     21  317.2  324.8  317.6
  569.0   4855   -2.5  -21.5     22   1.21    255     22  318.0  322.2  318.2
  567.4   4877   -2.7  -20.7     24   1.31    255     22  318.0  322.6  318.2
  566.0   4897   -2.9  -19.9     26   1.40    255     22  318.0  322.9  318.2
  563.0   4939   -3.1  -13.1     46   2.49    255     22  318.2  326.7  318.7
  558.0   5010   -3.7  -12.7     50   2.59    254     22  318.3  327.1  318.8
  553.0   5081   -4.7   -7.9     78   3.83    254     22  318.0  330.6  318.7
  545.0   5195   -5.5   -8.8     78   3.63    253     22  318.3  330.4  319.0
  538.0   5297   -5.7   -6.9     91   4.26    253     22  319.3  333.4  320.1
  531.0   5399   -6.1   -8.5     83   3.81    252     23  320.0  332.7  320.7
  527.0   5458   -5.5  -12.5     58   2.79    252     23  321.4  330.9  321.9
  524.0   5503   -5.5  -11.5     63   3.04    252     23  321.9  332.3  322.5
  520.0   5563   -5.5  -16.5     42   2.04    252     23  322.6  329.7  323.0
  517.0   5609   -5.5  -26.5     17   0.85    251     23  323.2  326.3  323.3
  512.0   5685   -5.7  -41.7      4   0.19    251     23  323.8  324.6  323.9
  508.0   5746   -5.7  -41.7      4   0.19    251     23  324.6  325.3  324.6
  500.0   5870   -6.9  -41.9      4   0.19    250     23  324.6  325.3  324.6
  493.0   5980   -7.9  -40.9      5   0.22    250     24  324.6  325.5  324.7
  489.0   6043   -8.1  -22.1     31   1.34    250     25  325.2  330.0  325.4
  485.7   6096   -8.5  -22.9     30   1.25    250     26  325.3  329.9  325.6
  475.0   6269   -9.7  -25.7     26   1.00    247     25  325.9  329.6  326.1
  471.0   6334   -9.9  -32.9     13   0.51    246     25  326.4  328.4  326.5
  461.0   6500  -10.9  -46.9      3   0.12    243     25  327.2  327.7  327.2
  448.7   6706  -12.1  -47.6      3   0.12    240     24  328.2  328.7  328.3
  414.2   7315  -15.5  -49.8      4   0.10    260     10  331.4  331.8  331.4
  407.0   7449  -16.3  -50.3      4   0.09    263     13  332.1  332.5  332.1
  400.0   7580  -17.3  -55.3      2   0.05    265     15  332.4  332.6  332.4
  397.9   7620  -17.6  -55.0      2   0.05    265     15  332.6  332.8  332.6
  384.0   7884  -19.3  -53.3      3   0.07    267     20  333.7  334.0  333.7
  366.0   8230  -22.3  -54.8      4   0.06    270     26  334.2  334.5  334.2
  322.5   9144  -30.4  -58.8      5   0.04    255     28  335.4  335.6  335.4
  309.0   9453  -33.1  -60.1      5   0.04    258     35  335.8  335.9  335.8
  302.0   9614  -33.9  -59.9      5   0.04    260     39  336.8  337.0  336.9
  300.0   9660  -33.7  -59.7      6   0.04    260     40  337.8  337.9  337.8
  278.0  10195  -34.3  -66.3      2   0.02    263     57  344.3  344.4  344.3
  259.6  10668  -38.0  -66.2      4   0.02    265     73  345.6  345.7  345.6
  256.0  10766  -38.8  -66.1      4   0.02    265     73  345.9  346.0  345.9
  250.0  10930  -40.1  -66.1      5   0.02    265     70  346.3  346.4  346.3
  236.0  11319  -43.5  -68.5      5   0.02    265     66  346.9  347.0  346.9
  206.8  12192  -49.5  -75.4      3   0.01    265     58  350.9  350.9  350.9
  205.0  12250  -49.9  -75.9      3   0.01    264     59  351.1  351.1  351.1
  200.0  12410  -51.3  -76.3      4   0.01    260     61  351.4  351.4  351.4
  188.1  12802  -54.6  -77.5      4   0.01    265     68  352.2  352.3  352.2
  183.0  12980  -56.1  -78.1      5   0.00    267     65  352.6  352.6  352.6
  152.0  14139  -62.9  -83.9      4   0.00    279     42  360.2  360.2  360.2
  150.0  14220  -63.5  -84.5      4   0.00    280     40  360.5  360.5  360.5
  147.4  14326  -64.3  -84.9      4   0.00    280     42  360.9  360.9  360.9
  140.2  14630  -66.6  -86.0      5   0.00    255     32  362.1  362.1  362.1
  138.0  14727  -67.3  -86.3      5   0.00    257     31  362.5  362.5  362.5
  126.6  15240  -69.7  -87.7      6   0.00    270     28  367.2  367.2  367.2
  116.0  15763  -72.1  -89.1      6   0.00    255     22  372.1  372.1  372.1
  114.3  15850  -70.6  -87.6      7   0.00    255     18  376.5  376.5  376.5
  114.0  15865  -70.3  -87.3      7   0.00    254     18  377.2  377.3  377.2
  111.0  16024  -70.3  -87.3      7   0.00    245     20  380.1  380.1  380.1
  108.0  16186  -71.5  -88.5      6   0.00    236     21  380.9  380.9  380.9
  104.0  16409  -71.5  -88.5      6   0.00    223     24  385.0  385.0  385.0
  100.0  16640  -73.1  -90.1      6   0.00    210     26  386.2  386.2  386.2
   93.6  17028  -73.9  -89.9      7   0.00    217     19  392.0  392.0  392.0
   88.0  17394  -69.3  -87.3      6   0.00    224     12  408.2  408.2  408.2
   79.7  17983  -71.6  -90.5      5   0.00    235      1  415.1  415.1  415.1
   78.8  18051  -71.9  -90.9      4   0.00    243      3  415.9  415.9  415.9
   75.7  18288  -70.5  -90.8      4   0.00    270      9  423.6  423.6  423.6
   72.0  18589  -68.7  -90.7      3   0.00     22      6  433.6  433.6  433.6
   70.0  18760  -65.1  -89.1      2   0.00     85      4  444.8  444.8  444.8
   69.0  18848  -64.9  -90.9      2   0.00     75      5  447.0  447.1  447.0
   65.1  19202  -65.6  -93.1      1   0.00     35     10  452.9  453.0  452.9
   63.7  19334  -65.9  -93.9      1   0.00     39     10  455.2  455.2  455.2
   57.9  19918  -62.5  -92.5      1   0.00     59     11  475.4  475.4  475.4
   53.1  20449  -63.9  -93.9      1   0.00     76     12  484.1  484.1  484.1
   50.8  20726  -62.0  -92.0      1   0.00     85     13  494.7  494.7  494.7
   50.6  20746  -61.9  -91.9      1   0.00     85     13  495.5  495.5  495.5
   50.0  20820  -62.1  -92.1      1   0.00     85     13  496.7  496.7  496.7
   46.0  21336  -61.8  -91.8      1   0.00    115     13  509.4  509.4  509.4
