
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Aug 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     57                                                               
  926.0    751   38.0   13.0     23  10.26    230      2  318.1  350.8  320.0
  925.0    764   37.6   13.6     24  10.69    235      2  317.8  351.8  319.8
  913.0    883   34.6   12.6     26  10.13    255      4  315.9  347.9  317.8
  909.9    914   34.2   12.6     27  10.17    260      5  315.8  348.0  317.7
  904.0    973   33.6   12.6     28  10.24    244      4  315.7  348.1  317.7
  879.5   1219   31.2   12.0     31  10.10    175      1  315.7  347.6  317.6
  850.0   1524   28.2   11.2     35   9.92    335      5  315.7  347.1  317.6
  820.9   1829   25.3   10.6     40   9.87     25      1  315.8  347.0  317.6
  792.7   2134   22.4   10.0     45   9.82     45      6  315.8  346.9  317.7
  765.6   2438   19.5    9.4     52   9.77     40      8  315.8  346.7  317.7
  765.0   2445   19.4    9.4     52   9.77     41      8  315.8  346.7  317.7
  738.9   2743   16.8    8.3     57   9.40     75      4  316.1  345.9  317.9
  731.0   2835   16.0    8.0     59   9.29     74      4  316.2  345.7  318.0
  725.0   2905   16.0    6.0     51   8.15     73      4  317.0  343.0  318.5
  701.0   3190   14.0    1.0     41   5.90     70      4  317.8  337.0  319.0
  700.0   3202   14.0    1.0     41   5.91     70      4  318.0  337.2  319.1
  666.0   3620   10.0    2.0     58   6.68    102      4  318.0  339.6  319.3
  663.0   3658    9.6    2.4     61   6.93    105      4  318.0  340.4  319.3
  655.0   3758    8.6    3.6     71   7.62     98      4  318.0  342.4  319.4
  644.0   3899    7.8    4.4     79   8.21     89      3  318.6  345.0  320.2
  615.8   4267    4.7    2.6     87   7.58     65      1  319.1  343.6  320.6
  615.0   4278    4.6    2.6     87   7.56     67      1  319.1  343.5  320.6
  603.0   4439    4.4   -0.3     72   6.25     94      2  320.7  341.1  321.9
  571.2   4877    1.4   -2.5     75   5.61    170      5  322.2  340.7  323.3
  556.0   5096   -0.1   -3.6     77   5.30    173      6  322.9  340.5  323.9
  537.0   5374   -2.1   -7.1     69   4.20    177      8  323.7  337.9  324.6
  528.0   5509   -2.7   -9.7     59   3.49    179      9  324.6  336.5  325.3
  522.0   5599   -3.3   -7.1     75   4.32    180      9  324.9  339.5  325.8
  514.0   5722   -3.7   -6.0     84   4.78    182     10  325.9  342.0  326.8
  510.0   5784   -3.7   -8.6     69   3.94    183     10  326.6  340.1  327.4
  507.0   5830   -4.1   -8.8     70   3.90    183     10  326.7  340.0  327.4
  504.0   5877   -4.3  -12.3     54   2.97    184     11  327.0  337.3  327.6
  500.0   5940   -4.9  -13.9     49   2.63    185     11  327.0  336.2  327.5
  496.0   6003   -5.3  -15.3     45   2.36    187     11  327.3  335.6  327.7
  490.1   6096   -6.1  -15.1     49   2.43    190     11  327.4  335.9  327.9
  490.0   6098   -6.1  -15.1     49   2.43    190     11  327.4  335.9  327.9
  488.0   6130   -6.3  -13.3     58   2.83    190     11  327.6  337.4  328.1
  482.0   6227   -6.9  -16.9     45   2.12    188     11  328.0  335.5  328.4
  474.0   6357   -7.9  -10.9     79   3.53    187     11  328.3  340.5  329.0
  469.0   6440   -8.3  -12.6     71   3.11    186     11  328.8  339.7  329.4
  462.0   6556   -8.5  -18.5     44   1.94    184     10  330.0  336.9  330.4
  458.0   6624   -9.1  -16.1     57   2.39    183     10  330.1  338.5  330.5
  451.0   6743   -9.9  -18.9     48   1.92    182     10  330.5  337.4  330.9
  446.0   6829  -10.5  -17.5     56   2.18    180     10  330.8  338.6  331.2
  444.0   6863  -10.5  -14.9     70   2.72    180     10  331.2  340.9  331.8
  432.0   7074  -11.7  -20.7     47   1.71    177     10  332.3  338.6  332.6
  417.0   7343  -13.3  -18.3     66   2.18    174      9  333.6  341.5  334.1
  412.0   7435  -13.3  -15.9     81   2.70    172      9  334.8  344.5  335.3
  407.0   7528  -13.3  -18.0     68   2.29    171      9  335.9  344.3  336.4
  402.1   7620  -13.9  -19.5     63   2.05    170      9  336.4  343.9  336.8
  400.0   7660  -14.1  -20.1     60   1.95    170      9  336.6  343.7  337.0
  399.0   7679  -14.1  -20.1     60   1.95    170      9  336.8  344.0  337.2
  393.0   7794  -15.1  -21.1     60   1.82    167      8  337.0  343.7  337.3
  386.0   7929  -16.3  -18.8     81   2.26    164      7  337.1  345.4  337.6
  375.0   8145  -17.9  -20.6     79   1.99    160      6  337.8  345.1  338.2
  371.0   8225  -18.3  -24.3     59   1.45    158      6  338.3  343.8  338.6
  359.0   8469  -20.5  -26.5     59   1.23    153      4  338.6  343.2  338.8
  355.0   8552  -21.1  -32.1     37   0.73    151      4  338.8  341.7  339.0
  352.0   8614  -21.7  -28.7     53   1.02    150      3  338.9  342.8  339.1
  347.0   8719  -22.5  -30.5     48   0.88    148      3  339.2  342.6  339.3
  345.0   8761  -22.9  -28.9     58   1.02    147      2  339.2  343.1  339.4
  344.0   8783  -23.1  -27.8     65   1.14    146      2  339.2  343.5  339.4
  341.4   8839  -23.3  -30.9     50   0.86    145      2  339.7  343.0  339.9
  341.0   8847  -23.3  -31.3     48   0.83    147      2  339.8  343.0  339.9
  336.0   8954  -24.3  -33.3     43   0.69    168      5  339.8  342.6  340.0
  333.0   9019  -24.3  -29.3     63   1.02    180      7  340.7  344.7  340.9
  327.3   9144  -25.1  -31.2     57   0.87    205     11  341.3  344.7  341.5
  323.0   9241  -25.7  -32.7     52   0.76    214     13  341.8  344.8  341.9
  313.8   9449  -27.4  -33.3     57   0.74    235     17  342.2  345.1  342.4
  303.0   9699  -29.5  -34.0     65   0.72    219     24  342.7  345.6  342.9
  300.7   9754  -29.6  -34.0     66   0.72    215     26  343.2  346.1  343.4
  300.0   9770  -29.7  -34.0     66   0.72    215     26  343.4  346.3  343.6
  288.1  10058  -31.3  -35.5     67   0.65    215     24  345.1  347.7  345.2
  280.0  10260  -32.5  -36.6     67   0.60    202     20  346.2  348.6  346.3
  264.1  10668  -35.9  -39.9     67   0.45    175     13  347.1  348.9  347.2
  250.0  11050  -39.1  -43.0     66   0.34    170     20  347.8  349.2  347.9
  242.0  11272  -41.3  -45.3     65   0.28    166     21  347.7  348.9  347.8
  231.1  11582  -43.5  -48.3     59   0.21    160     22  349.1  349.9  349.1
  229.0  11645  -43.9  -48.9     57   0.20    162     22  349.3  350.2  349.4
  201.3  12497  -50.8  -55.8     55   0.10    185     29  351.6  352.0  351.6
  200.0  12540  -51.1  -56.1     55   0.10    185     29  351.7  352.1  351.7
  168.0  13647  -60.3  -67.3     39   0.03    185     39  354.3  354.5  354.3
  166.1  13716  -61.0  -67.8     40   0.02    185     40  354.4  354.5  354.4
  152.0  14260  -66.1  -72.1     43   0.01    181     36  354.7  354.8  354.7
  150.0  14340  -66.5  -72.5     43   0.01    180     35  355.3  355.4  355.3
  142.9  14630  -68.6  -75.3     38   0.01    180     31  356.6  356.7  356.6
  140.0  14755  -69.5  -76.5     35   0.01    175     30  357.1  357.2  357.1
  131.0  15150  -71.1  -79.1     30   0.01    159     28  361.1  361.2  361.1
  129.0  15242  -70.9  -78.9     30   0.01    155     27  363.1  363.1  363.1
  129.0  15240  -70.9  -78.9     30   0.01    155     27  363.1  363.1  363.1
  128.0  15288  -69.7  -78.7     26   0.01    162     25  366.1  366.1  366.1
  122.6  15545  -70.5  -80.7     21   0.00    200     12  369.1  369.1  369.1
  119.0  15721  -71.1  -82.1     18   0.00    178     11  371.2  371.2  371.2
  116.0  15873  -70.3  -81.3     19   0.00    160     10  375.4  375.4  375.4
  115.0  15925  -69.1  -81.1     16   0.00    153     10  378.5  378.6  378.5
  114.0  15977  -69.1  -81.1     16   0.00    147      9  379.5  379.5  379.5
  110.6  16154  -70.5  -82.8     15   0.00    125      8  380.2  380.2  380.2
  103.0  16577  -73.7  -86.7     12   0.00     86     14  381.8  381.9  381.8
  100.0  16750  -74.5  -86.5     14   0.00     70     17  383.5  383.6  383.5
   98.0  16868  -72.9  -84.9     15   0.00     70     16  388.9  388.9  388.9
   90.5  17333  -73.1  -86.1     12   0.00     70     11  397.4  397.4  397.4
   87.1  17560  -68.3  -84.3      8   0.00     70      9  411.4  411.4  411.4
   85.4  17678  -67.2  -84.6      7   0.00     70      8  415.9  415.9  415.9
   84.6  17735  -66.7  -84.7      6   0.00     63      9  418.1  418.1  418.1
