
University of Wyoming - Radiosonde Data

72274 TUS Tucson Observations at 00Z 01 Jan 2019

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     86                                                               
  925.0    736                                                               
  923.0    751   11.8   -2.2     38   3.54     35      3  291.6  302.1  292.2
  920.0    778   11.2   -1.8     40   3.66     64      3  291.2  302.1  291.9
  905.0    914   10.0   -2.0     43   3.66    210      4  291.3  302.2  291.9
  872.3   1219    7.2   -2.5     50   3.67    205     16  291.5  302.4  292.1
  850.0   1434    5.2   -2.8     56   3.68    220     18  291.6  302.6  292.2
  821.0   1716    2.6   -3.4     65   3.64    220     22  291.7  302.6  292.4
  809.5   1829    1.5   -3.4     70   3.69    220     24  291.8  302.8  292.4
  779.3   2134   -1.4   -3.4     86   3.84    215     31  291.8  303.2  292.5
  764.0   2292   -2.9   -3.4     96   3.91    218     33  291.9  303.5  292.6
  750.1   2438   -3.4   -3.9     96   3.83    220     34  292.8  304.3  293.5
  733.0   2620   -4.1   -4.6     96   3.73    223     33  294.0  305.2  294.7
  721.6   2743   -4.9   -5.4     96   3.56    225     33  294.4  305.2  295.1
  700.0   2982   -6.5   -7.0     96   3.25    235     37  295.3  305.1  295.8
  650.0   3558   -9.7  -10.4     95   2.68    239     43  298.0  306.3  298.4
  644.0   3629  -10.5  -11.9     89   2.40    240     44  297.8  305.4  298.3
  641.6   3658  -10.8  -14.5     74   1.95    240     44  297.8  303.9  298.1
  637.0   3713  -11.5  -19.5     52   1.29    241     45  297.6  301.8  297.9
  628.0   3822  -12.7  -20.7     51   1.18    244     46  297.5  301.3  297.7
  609.0   4056  -13.3  -19.3     61   1.37    250     50  299.4  303.9  299.7
  600.0   4170  -13.3  -16.6     76   1.75    253     52  300.7  306.3  301.0
  592.4   4267  -13.6  -16.8     77   1.74    255     53  301.4  307.0  301.7
  573.0   4519  -14.5  -17.3     79   1.73    255     60  303.3  308.9  303.6
  566.0   4612  -15.3  -21.3     60   1.24    255     62  303.4  307.5  303.6
  546.5   4877  -16.4  -19.6     76   1.49    255     69  305.2  310.1  305.5
  544.0   4911  -16.5  -19.4     78   1.52    255     69  305.4  310.4  305.7
  538.0   4994  -17.1  -20.9     72   1.35    256     71  305.7  310.2  305.9
  534.0   5050  -17.1  -19.4     82   1.55    256     71  306.3  311.5  306.6
  527.0   5149  -17.9  -20.7     79   1.40    257     73  306.5  311.2  306.8
  522.0   5220  -18.7  -24.7     59   0.99    258     73  306.4  309.8  306.6
  515.0   5321  -19.7  -24.7     64   1.01    259     75  306.4  309.8  306.6
  505.0   5466  -19.5  -20.6     91   1.48    260     77  308.3  313.3  308.6
  503.6   5486  -19.7  -20.9     90   1.44    260     77  308.4  313.2  308.6
  500.0   5540  -20.1  -21.7     87   1.36    260     77  308.5  313.1  308.7
  463.7   6096  -23.7  -24.8     91   1.11    260     73  310.7  314.5  310.9
  460.0   6155  -24.1  -25.1     91   1.09    260     73  310.9  314.7  311.1
  447.0   6365  -25.9  -27.4     87   0.91    259     72  311.2  314.4  311.4
  434.0   6578  -27.9  -32.2     67   0.59    258     71  311.3  313.4  311.4
  415.0   6899  -30.7  -35.7     61   0.44    256     70  311.7  313.3  311.8
  400.0   7160  -33.3  -42.3     40   0.23    255     69  311.6  312.5  311.7
  388.0   7373  -35.1  -48.1     25   0.13    255     69  312.0  312.5  312.0
  374.4   7620  -37.3  -50.3     25   0.10    255     69  312.2  312.6  312.3
  371.0   7683  -37.9  -50.9     24   0.10    255     69  312.3  312.7  312.3
  349.0   8102  -39.9  -57.9     13   0.04    255     69  315.1  315.3  315.1
  342.5   8230  -40.6  -59.0     12   0.04    255     69  315.8  316.0  315.8
  333.0   8422  -41.7  -60.7     11   0.03    260     67  316.9  317.0  316.9
  312.9   8839  -45.0  -63.5     11   0.02    270     64  317.9  318.0  317.9
  300.0   9120  -47.3  -65.3     11   0.02    270     70  318.6  318.7  318.6
  298.9   9144  -47.5  -65.4     11   0.02    270     70  318.7  318.7  318.7
  288.0   9387  -49.3  -66.3     12   0.02    268     73  319.5  319.5  319.5
  250.0  10300  -54.1  -70.1     12   0.01    260     86  325.5  325.6  325.5
  248.0  10351  -54.1  -70.1     12   0.01    260     86  326.2  326.3  326.3
  228.0  10885  -58.1  -73.1     13   0.01    255     91  328.1  328.1  328.1
  224.9  10973  -57.8  -72.8     13   0.01    255     94  329.8  329.9  329.8
  224.0  10997  -57.7  -72.7     13   0.01    255     94  330.3  330.3  330.3
  217.0  11197  -57.1  -72.1     13   0.01    254     88  334.3  334.4  334.3
  209.0  11437  -53.5  -72.5      8   0.01    252     82  343.5  343.6  343.5
  204.0  11592  -53.7  -71.7      9   0.01    251     78  345.6  345.7  345.6
  202.0  11656  -52.1  -71.1      8   0.01    250     76  349.1  349.2  349.1
  200.0  11720  -52.3  -71.3      8   0.01    250     74  349.8  349.9  349.8
  192.0  11984  -52.7  -71.7      8   0.01    250     63  353.2  353.3  353.2
  188.0  12121  -50.5  -71.5      7   0.01    250     58  358.9  359.0  358.9
  186.0  12192  -50.8  -71.6      7   0.01    250     55  359.6  359.6  359.6
  177.4  12497  -52.1  -72.0      7   0.01    240     57  362.3  362.3  362.3
  170.0  12775  -53.3  -72.3      8   0.01    242     64  364.8  364.8  364.8
  165.0  12968  -51.1  -70.1      9   0.02    244     69  371.6  371.6  371.6
  163.0  13048  -51.7  -71.7      7   0.01    245     71  371.9  371.9  371.9
  161.6  13106  -51.5  -71.5      7   0.02    245     73  373.2  373.3  373.2
  154.0  13418  -50.1  -70.1      8   0.02    248     72  380.7  380.8  380.7
  150.0  13590  -51.3  -70.3      9   0.02    250     72  381.5  381.6  381.5
  149.0  13633  -51.7  -70.7      8   0.02    249     71  381.5  381.6  381.5
  145.0  13810  -51.5  -71.5      7   0.02    247     69  384.8  384.9  384.8
  139.0  14084  -52.5  -72.5      7   0.02    243     65  387.8  387.8  387.8
  138.0  14130  -51.1  -71.1      7   0.02    242     64  391.0  391.1  391.0
  134.0  14321  -51.7  -71.7      7   0.02    239     61  393.3  393.4  393.3
  127.8  14630  -52.8  -72.8      7   0.02    235     57  396.7  396.8  396.7
  124.0  14822  -53.5  -73.5      7   0.01    237     62  398.8  398.9  398.8
  116.2  15240  -56.0  -75.1      7   0.01    240     73  401.6  401.7  401.6
  116.0  15249  -56.1  -75.1      8   0.01    240     73  401.7  401.7  401.7
  110.7  15545  -56.9  -75.8      7   0.01    245     76  405.6  405.7  405.6
  109.0  15644  -57.1  -76.1      7   0.01    246     71  407.0  407.1  407.0
  105.0  15880  -57.1  -76.1      7   0.01    248     60  411.4  411.4  411.4
  104.0  15941  -55.9  -75.9      6   0.01    248     57  414.8  414.8  414.8
  100.0  16190  -56.5  -75.5      7   0.01    250     45  418.3  418.4  418.3
   81.1  17490  -65.3  -82.3      8   0.01    230     40  426.1  426.1  426.1
   75.6  17919  -63.1  -80.1      8   0.01    241     40  439.3  439.3  439.3
   71.2  18288  -64.5  -81.5      8   0.01    250     40  444.1  444.1  444.1
   71.0  18303  -64.5  -81.5      8   0.01    249     40  444.2  444.3  444.2
   70.2  18372  -61.7  -79.7      7   0.01    246     42  451.7  451.7  451.7
   70.0  18390  -61.5  -79.5      7   0.01    245     42  452.5  452.5  452.5
   67.8  18593  -59.2  -76.5      9   0.02    235     42  461.6  461.7  461.6
   66.9  18674  -58.3  -75.3     10   0.02    231     40  465.3  465.4  465.3
   64.6  18898  -58.6  -76.0      9   0.02    220     34  469.3  469.4  469.3
   60.2  19339  -59.3  -77.3      8   0.02    243     29  477.3  477.4  477.3
   53.1  20117  -64.2  -81.3      8   0.01    285     20  483.4  483.5  483.4
   52.4  20200  -64.7  -81.7      8   0.01    261     16  484.1  484.1  484.1
   50.5  20422  -61.4  -78.3      9   0.02    195      7  496.9  497.1  496.9
   50.2  20465  -60.7  -77.7      9   0.02    198      7  499.4  499.6  499.4
   50.0  20490  -60.7  -77.7      9   0.02    200      7  500.0  500.1  500.0
   48.1  20726  -61.7  -78.7      9   0.02    210     10  503.1  503.2  503.1
   44.7  21182  -63.7  -80.7      8   0.01    217     24  509.0  509.1  509.0
   43.6  21336  -62.3  -79.3      9   0.02    220     29  516.1  516.2  516.1
   43.0  21421  -61.5  -78.5      9   0.02    222     29  520.1  520.2  520.1
