# #MJD, AbsGain, AbsGainErr
5.456618415509258921e+04, 5.626424598000005162e+00, 3.701457088332997525e-02
5.456618547453703650e+04, 5.416800428000002832e+00, 3.496690350918453538e-02
5.456618677083333023e+04, 5.551481543999996049e+00, 4.422361863575560714e-02
5.456618805555555446e+04, 6.401622650000000192e+00, 6.912106514954526049e-02
5.456618903935185517e+04, 7.270015859999997332e+00, 2.189749289106104335e-01
5.456619004629629490e+04, 6.485286960000006928e+00, 8.341386911357998035e-02
5.456619107638888818e+04, 1.031224704800000147e+01, 8.196513288809482765e+04
5.456619208333333518e+04, 5.875991100000002021e+00, 6.885511400892252443e-02
5.456619318287036731e+04, 5.654569746000003505e+00, 3.701710060125679158e-02
5.456619450231481460e+04, 6.152931054000001510e+00, 5.556438659732676477e-02
5.456619582175926189e+04, 5.607403539999998188e+00, 3.892606135581839349e-02
5.456619714120370190e+04, 5.408145008000001752e+00, 3.230714078529792893e-02
5.456619844907407241e+04, 5.374570802000002701e+00, 3.136665277774309396e-02
5.456619976851851970e+04, 5.511434960000008765e+00, 3.337172746013540581e-02
5.456620112268518278e+04, 5.971298879999999976e+00, 5.626564756370608378e-02
5.456620362268518511e+04, 5.522055650000004867e+00, 1.695968512303103887e-02
5.456620754629629664e+04, 5.784022757999996323e+00, 4.135013622039335895e-02
5.456620879629629781e+04, 5.245424884000002841e+00, 2.863122321696089448e-02
5.456621006944444525e+04, 5.413531999999999123e+00, 3.016004534631354719e-02
5.456621335648147942e+04, 5.437376620000001104e+00, 2.811023130713469556e-02
5.456621487268518831e+04, 5.435269920000001420e+00, 2.811087890052131263e-02
5.456621623842592817e+04, 5.854819739999999051e+00, 4.028045554201042239e-02
5.456621755787036818e+04, 5.485692151999995048e+00, 2.703794945846392864e-02
5.456621887731481547e+04, 5.593239000000003180e+00, 2.990037056524775388e-02
5.456622024305555533e+04, 5.447200191999995056e+00, 2.790269622254116372e-02
5.456622152777777956e+04, 5.362468550000002665e+00, 2.796062706913855431e-02
5.456622284722221957e+04, 5.432841280000002548e+00, 2.717107524360566628e-02
5.456622421296295943e+04, 5.395574721999995660e+00, 2.613724046006607807e-02
5.456622554398148350e+04, 5.367290088000003401e+00, 2.679596161431524459e-02
5.456622684027777723e+04, 5.942738894000000549e+00, 4.807773982100101151e-02
5.456622811342592468e+04, 5.698874896000003965e+00, 3.817416440975478220e-02
5.456622942129629519e+04, 5.431596390000004604e+00, 2.719363749735725228e-02
5.456623072916666570e+04, 6.152209431999995815e+00, 4.498508791289194952e-02
5.456623196759259008e+04, 7.107252268000000761e+00, 6.716963006398024572e-02
5.456623321759259125e+04, 1.060458707599999606e+01, 1.715327711648561848e-01
5.456623449074073869e+04, 9.916694974000010987e+00, 1.351610737955936115e-01
5.456623582175926276e+04, 5.825277570000001681e+00, 3.531069636512759735e-02
5.456623714120370278e+04, 1.146099062400000435e+01, 2.116731584242313169e-01
5.456623850694444263e+04, 7.750947480000003331e+00, 9.450897582218886761e-02
5.456623986111111299e+04, 8.297505798000001320e+00, 1.184818244574259577e-01
5.456624121527777606e+04, 1.348546660000000585e+01, 2.493151491290798438e-01
5.456624256944444642e+04, 1.401564850000000106e+01, 3.686213045162663460e-01
5.456624391203703999e+04, 6.287786319999996820e+00, 6.098616724867916145e-02
5.456624526620370307e+04, 5.403511259999998373e+00, 2.721013283528507867e-02
5.456624663194444292e+04, 5.542944234000006354e+00, 2.851532224850481315e-02
5.456624800925925956e+04, 3.228751361400000519e+01, 1.224787929826524069e+00
5.456624937499999942e+04, 5.943927671999993834e+00, 4.379282951329976220e-02
5.456625068287036993e+04, 5.486844458000001978e+00, 2.901130064492837141e-02
5.456625200231481722e+04, 5.508368214000000762e+00, 2.777849965816818825e-02
5.456625331018518773e+04, 5.540176540000002703e+00, 2.840312749486091290e-02
5.456625462962962774e+04, 5.599163500000001292e+00, 2.962024731597172333e-02
5.456625717592592264e+04, 5.489723820000002696e+00, 2.967030361857733722e-02
5.456625856481481605e+04, 7.155184165999996182e+00, 9.228398102944906922e-02
5.456625989583333285e+04, 5.620461212000001261e+00, 3.009977573071703078e-02
5.456626121527778014e+04, 6.932665745999995188e+00, 7.953065678170956332e-02
5.456626254629629693e+04, 5.735855729999998154e+00, 3.160625929051717048e-02
5.456626386574074422e+04, 5.665173443999997893e+00, 2.983991574114112227e-02
5.456626519675926102e+04, 5.686570515999997966e+00, 3.091552645714428643e-02
5.456626652777777781e+04, 1.362962956199999986e+01, 3.515940774862861273e-01
5.456626784722222510e+04, 5.677305197999999109e+00, 3.049237210175444537e-02
5.456626916666666511e+04, 1.747820750200000717e+01, 5.142138578119623826e-01
5.456627047453703562e+04, 7.007830912000006407e+00, 7.160095415284216391e-02
5.456627179398148292e+04, 5.727903554000006281e+00, 2.985080233295330648e-02
5.456627311342592293e+04, 5.457988119999997778e+00, 2.736026769216554771e-02
5.456627444444444700e+04, 1.071602340400000308e+01, 2.600026041497419671e-01
5.456627557870370219e+04, 1.914276269665998825e+03, 1.709917300393781048e+01
5.456627717592592671e+04, 5.696403920000005172e+00, 3.194580505709368468e-02
5.456627843749999738e+04, 5.975907669999997118e+00, 3.909359639768373446e-02
5.456627971064814483e+04, 6.197461188000001897e+00, 5.519207271994040764e-02
5.456628103009259212e+04, 5.907133000000003520e+00, 3.415518557352566209e-02
5.456628238425926247e+04, 5.545856139999999712e+00, 2.998447258621681974e-02
5.456628391203703359e+04, 5.538879526000000553e+00, 3.081477360889213826e-02
5.456628518518518831e+04, 5.201142600000002503e+00, 2.815948411174776581e-02
5.435494739583333285e+04, 5.253536920000001942e+00, 2.520667584191681881e-02
5.435572782407407067e+04, 1.028034986800000183e+01, 1.689101356715241031e-01
5.435712606481481635e+04, 5.661497032000002427e+00, 3.303858000669406686e-02
5.435792964120370016e+04, 5.481576142540001456e+03, 1.044179311672148174e+02
5.435902368055555417e+04, 1.179084937999998317e+01, 3.091811705813595212e-01
5.436273718750000262e+04, 5.176410285999991423e+00, 2.729087419451117075e-02
5.436292329861110920e+04, 7.686538664000001297e+00, 1.406920410428783019e-01
5.436386487268518249e+04, 6.497808604000001154e+00, 8.594388693864586648e-02
5.438304160879629490e+04, 1.168827894199999129e+01, 3.010362664262438148e-01
5.438314701388889080e+04, 6.395551562000001411e+00, 6.061365893012406886e-02
5.438318787037036964e+04, 5.398728507999998705e+00, 2.682768833951034229e-02
5.438319671296296292e+04, 5.555613380000001378e+00, 3.281704304708332742e-02
5.438323072916666570e+04, 5.288393398000001966e+00, 2.553796397552940065e-02
5.438389675925925985e+04, 1.933126850399999910e+02, 8.417324689991028563e+00
5.438495850694444380e+04, 5.221937233999999428e+00, 2.534957415642252743e-02
5.438875487268518191e+04, 1.930776510000000030e+02, 8.415919717810481870e+00
5.438876115740741079e+04, 1.931318696859999591e+02, 8.416835163334821956e+00
5.438876966435185022e+04, 5.237068553999996823e+00, 2.628040255747195880e-02
5.438877635416666453e+04, 1.931273052619999646e+02, 8.416715463576059264e+00
5.439065746527777810e+04, 5.360329581999997650e+00, 2.628507143735251544e-02
5.439066790509259590e+04, 2.013748037480000335e+02, 8.424035776684707599e+00
5.439182578703703621e+04, 7.710603079999991394e+00, 1.131823495552578135e-01
5.439267681712962803e+04, 5.586053040000002134e+00, 3.225501872257378888e-02
5.439574177083333052e+04, 1.932780182399999944e+02, 8.416440323156301417e+00
5.439863665509259590e+04, 1.124644590600001770e+01, 2.725101828054115050e-01
5.440369839120370307e+04, 5.639213602000004322e+00, 2.909074116046622346e-02
5.440564898148148495e+04, 1.961851970599999504e+02, 8.420042639885034319e+00
5.440565754629629373e+04, 2.119457610020000971e+02, 8.456836909829462456e+00
5.440695370370370074e+04, 6.135539751999995239e+00, 5.266458814485029671e-02
5.441074160879629926e+04, 5.675280460000001526e+00, 4.100413064786471995e-02
5.441075074074073927e+04, 6.271819688000007886e+00, 6.976118967445064933e-02
5.441076021990740992e+04, 6.052194190000001583e+00, 5.948738192363245414e-02
5.441076821759259474e+04, 5.209496000000003235e+00, 2.648527672236607178e-02
5.441168557870370569e+04, 6.651651966000003746e+00, 7.135273879163889221e-02
5.441374468750000233e+04, 6.646467600000001141e+00, 8.957620181110267921e-02
5.441672386574074335e+04, 1.940829771079999375e+02, 8.416711338934470987e+00
5.441671523148148117e+04, 5.216550544000003065e+00, 2.515411663473950121e-02
5.441780703703704057e+04, 1.942851226680000707e+02, 8.416273569247250563e+00
5.441781809027777490e+04, 8.059592700000003163e+00, 1.322159792032124304e-01
5.441784031249999680e+04, 1.941164940800000238e+02, 8.416036801420352376e+00
5.442073898148148146e+04, 1.939457656739999720e+02, 8.415885380115870618e+00
5.442075540509259008e+04, 1.930161530379998567e+02, 8.417416694238617936e+00
5.442078289351851708e+04, 1.946804434899999308e+02, 8.416650063209532462e+00
5.442178078703703795e+04, 9.217562434000004856e+00, 2.093687472496973678e-01
5.442372935185184906e+04, 6.567586911999998556e+00, 7.581145311964969380e-02
5.442374309027777781e+04, 5.328388584000000705e+00, 2.693716018866105372e-02
5.442467606481481198e+04, 6.171651145999996757e+00, 7.311648748732856029e-02
